timestamp,tracker1_pos_x,tracker1_pos_y,tracker1_pos_z,tracker1_rot_roll,tracker1_rot_pitch,tracker1_rot_yaw,tracker1_rot_quat_x,tracker1_rot_quat_y,tracker1_rot_quat_z,tracker1_rot_quat_w,tracker2_pos_x,tracker2_pos_y,tracker2_pos_z,tracker2_rot_roll,tracker2_rot_pitch,tracker2_rot_yaw,tracker2_rot_quat_x,tracker2_rot_quat_y,tracker2_rot_quat_z,tracker2_rot_quat_w,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1755105679.1632187,0.2138848453760147,0.19039618968963623,-0.09760153293609619,90.48504148534805,48.819538377841425,-1.1379011475605605,0.6494779884462156,0.2845439822187973,-0.29980526507167393,0.6382239554439532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.2,123.6,-69.12,-94.8,115.8,-54.59,-49.6,22.2,-37.47,-49.6,-1.2,-21.0,-92.8,318.4,-396.32,-188.2,125.4,-104.01,-94.4,49.8,-33.92,-2.8,31.6,-59.76,-127.6,-81.0,-775.52,-252.2,-4.0,-161.5,-85.8,-26.0,-53.3,-61.6,16.6,-39.41,-45.6,-309.6,-283.59,-146.0,-128.0,-83.66,-65.8,-19.6,-61.69,-36.0,1.0,-46.51,-55.4,-136.2,-59.43,-64.2,-87.8,-57.82,-54.0,-34.8,-37.47,-37.2,-21.6,-56.2,-22.8,-93.0,-38.11,-49.6,-95.4,-34.24,-13.8,-60.4,-35.21,-3.6,-0.2,-40.05
1755105696.4010024,0.21376875042915344,0.190657377243042,-0.09750956296920776,90.57067457385621,48.814344073776596,-1.1023477968333453,0.6498795481509325,0.2844923501583924,-0.2997907644344626,0.6378449372905839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.0,124.2,-69.12,-94.6,116.2,-54.26,-49.6,22.6,-37.15,-49.8,-1.2,-21.64,-92.4,318.8,-397.29,-188.4,125.6,-104.01,-94.8,49.8,-33.27,-2.0,32.2,-58.79,-127.4,-80.6,-774.88,-252.2,-3.8,-160.53,-86.4,-26.0,-52.97,-61.6,16.6,-40.05,-45.6,-309.0,-283.92,-145.4,-127.6,-83.01,-65.8,-19.0,-61.69,-35.4,1.0,-46.51,-55.2,-135.8,-59.76,-63.8,-88.0,-58.79,-54.4,-35.2,-36.5,-37.6,-21.2,-55.88,-22.4,-92.2,-38.11,-49.8,-95.2,-35.21,-13.8,-60.6,-34.56,-3.6,-0.2,-39.41
1755105712.9470415,0.21376681327819824,0.19048047065734863,-0.09754478931427002,90.57535602193072,48.8198018099337,-1.068735570170292,0.649808415128426,0.28470135255955015,-0.2996459625960219,0.6378921730508317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.8,124.2,-69.77,-95.0,115.8,-54.26,-49.2,22.4,-37.47,-49.8,-1.6,-21.64,-92.6,318.8,-396.97,-188.4,125.2,-103.36,-94.6,50.0,-33.59,-2.2,32.4,-59.43,-127.6,-81.2,-775.52,-252.2,-3.4,-161.5,-86.2,-26.2,-53.62,-61.6,16.0,-40.05,-45.8,-309.4,-284.24,-145.6,-127.6,-83.98,-66.0,-19.4,-60.72,-36.0,1.0,-46.84,-55.4,-136.0,-59.43,-63.8,-87.8,-58.14,-54.0,-35.2,-37.79,-37.4,-21.0,-55.56,-23.0,-92.6,-38.44,-49.6,-95.8,-35.21,-14.0,-60.8,-34.24,-3.6,-0.6,-39.73
1755105728.922685,0.25375694036483765,0.1908421516418457,-0.13541412353515625,90.64845405635108,43.71940317336153,-0.7973465769023479,0.6617733401177494,0.2571881271525688,-0.26930035604208075,0.6506823983926455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.2,124.0,-69.77,-94.8,116.8,-53.94,-49.6,22.2,-37.15,-49.6,-1.2,-21.32,-92.8,319.4,-396.64,-189.0,126.0,-104.01,-94.8,50.0,-34.24,-2.4,32.0,-59.11,-127.2,-81.0,-775.52,-252.0,-3.8,-161.5,-86.6,-25.8,-53.62,-61.6,16.4,-39.73,-45.4,-309.4,-283.59,-145.8,-127.6,-83.66,-66.0,-19.0,-61.37,-35.6,0.4,-46.51,-55.6,-136.0,-58.14,-64.0,-88.6,-58.14,-54.4,-35.0,-37.47,-37.2,-20.8,-55.88,-22.6,-92.2,-38.44,-49.6,-95.2,-34.88,-13.8,-60.6,-34.24,-3.4,-0.2,-39.73
1755105744.1156251,0.2559262812137604,0.186987042427063,-0.13148558139801025,91.14077919100812,44.012779209734184,-0.4756314336303505,0.6631653998082426,0.2595588200952308,-0.27027611487893055,0.6479133284833265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.6,124.0,-69.77,-95.2,116.2,-54.26,-49.6,22.0,-36.82,-49.2,-1.4,-21.0,-92.6,319.0,-396.97,-188.2,125.2,-104.01,-94.8,50.0,-34.24,-2.0,32.4,-59.76,-127.0,-80.8,-774.88,-252.0,-3.6,-161.82,-86.4,-26.0,-53.62,-61.8,16.8,-40.05,-45.2,-309.4,-283.92,-145.4,-127.8,-83.33,-65.6,-19.4,-61.69,-35.8,1.0,-46.84,-55.4,-136.0,-59.43,-63.8,-88.0,-57.82,-54.2,-35.0,-37.15,-37.2,-21.4,-55.88,-22.4,-92.4,-38.76,-49.6,-95.4,-35.53,-13.8,-60.6,-34.88,-3.4,-0.4,-40.05
1755105760.2822978,0.19337858259677887,0.19131207466125488,0.04200226068496704,89.40086610512908,57.29259999230339,-1.8846887732519946,0.6228216555737927,0.3305571496873498,-0.3474242713626759,0.618159781496914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.6,124.0,-69.77,-95.2,115.8,-54.91,-49.6,22.4,-37.47,-49.6,-1.8,-21.32,-105.6,294.6,-489.02,-285.2,84.8,-444.45,-174.8,40.8,-66.22,-25.0,29.6,-56.53,111.6,-295.2,-319.77,-198.0,-200.8,-242.25,-120.4,-70.6,-70.74,-75.0,6.2,-39.08,28.2,-166.8,-74.29,-60.0,-143.8,-57.49,-58.6,-43.0,-64.28,-38.4,-8.0,-46.19,-35.6,-65.6,-34.88,-31.0,-71.8,-52.0,-43.2,-39.4,-38.11,-36.0,-24.6,-55.88,-16.4,-68.4,-39.08,-39.2,-84.2,-37.15,-8.0,-58.8,-36.18,-1.2,-1.6,-40.38
1755105773.8396292,0.1933836042881012,0.19152772426605225,0.04209381341934204,89.27256357850575,57.2990780946236,-2.048684941905435,0.6225837258851438,0.3300908876949463,-0.3479737517201312,0.6183395114161454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,241.4,-248.39,-172.2,244.6,-201.23,-108.0,47.2,-51.36,-68.2,2.8,-17.44,249.0,50.6,-668.93,-351.2,66.8,-448.97,-174.2,40.4,-65.57,-25.0,29.6,-56.2,112.6,-295.4,-319.77,-198.2,-200.4,-242.25,-121.0,-70.2,-71.06,-74.6,6.4,-38.44,28.4,-167.0,-74.29,-60.4,-144.2,-58.14,-58.6,-43.0,-65.25,-38.4,-7.8,-45.87,-35.4,-66.2,-34.88,-30.4,-72.0,-52.0,-43.6,-39.2,-37.47,-35.8,-25.0,-56.2,-16.8,-67.6,-40.38,-38.8,-84.4,-36.5,-7.8,-58.8,-36.18,-1.4,-1.6,-40.38
1755105789.8320453,0.19329874217510223,0.1915801763534546,0.04211986064910889,89.20415681029004,57.304037155231676,-2.1254022832271304,0.6224214014713179,0.3299092117024483,-0.34821715656404534,0.618462825392918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,242.2,-247.42,-172.4,244.8,-200.26,-107.8,48.2,-51.68,-68.4,2.8,-16.8,249.0,50.6,-668.93,-351.2,66.6,-449.62,-175.0,40.2,-65.89,-24.8,29.4,-56.85,112.4,-295.4,-319.45,-197.8,-200.8,-241.93,-120.6,-71.0,-71.38,-75.0,6.2,-38.76,28.6,-167.0,-74.61,-60.4,-143.8,-57.82,-58.6,-43.0,-64.92,-38.4,-7.4,-45.87,-35.8,-66.0,-34.88,-31.0,-71.8,-51.68,-43.4,-39.6,-37.47,-36.0,-24.6,-55.88,-15.8,-67.8,-39.73,-39.4,-84.4,-36.5,-7.6,-58.8,-36.18,-1.2,-1.4,-40.7
1755105805.7875443,0.19330526888370514,0.19176411628723145,0.042147040367126465,89.224456576843,57.30272596656345,-2.143640369648491,0.6225871807785794,0.3297412469599572,-0.3483670301240879,0.6183011600140639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.6,242.2,-248.39,-172.2,244.8,-200.26,-107.6,47.4,-51.68,-68.0,3.0,-16.8,249.4,50.4,-668.61,-351.6,66.6,-449.29,-174.8,40.4,-66.22,-25.2,29.4,-57.17,112.8,-295.8,-319.45,-198.6,-200.4,-242.25,-120.6,-70.2,-71.06,-74.6,6.6,-39.08,28.6,-167.0,-74.61,-60.2,-144.0,-57.49,-58.8,-43.2,-64.28,-38.8,-7.4,-45.87,-35.4,-65.6,-35.21,-31.0,-71.0,-52.0,-43.4,-39.0,-38.44,-35.6,-24.8,-56.53,-16.2,-67.8,-40.05,-39.2,-84.0,-37.15,-7.8,-58.8,-35.85,-1.4,-1.2,-40.05
1755105820.9745824,0.19331178069114685,0.19156646728515625,0.042075276374816895,89.23561663531551,57.29809161658196,-2.1123510178166427,0.622570468285868,0.32985178178694585,-0.3482056358651375,0.6183499024691904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.6,242.0,-248.71,-172.2,245.2,-199.94,-108.0,47.6,-52.0,-68.4,3.2,-17.44,249.2,49.8,-668.61,-351.2,67.0,-449.62,-174.6,40.6,-65.89,-25.0,29.4,-57.17,112.4,-295.6,-319.45,-197.6,-200.8,-241.93,-120.6,-71.0,-71.06,-74.6,6.2,-39.08,28.8,-166.8,-74.61,-60.0,-143.6,-57.17,-58.6,-42.8,-63.95,-38.2,-8.0,-46.51,-35.6,-65.8,-34.24,-30.8,-72.0,-52.65,-43.2,-39.4,-38.44,-35.4,-24.6,-55.88,-16.0,-67.6,-39.41,-39.0,-84.6,-36.5,-8.0,-59.0,-35.53,-1.6,-1.2,-40.05
