label,pos_x,pos_y,pos_z
Corner_1,-0.27484869956970215,1.1027445793151855,-0.045780181884765625
Corner_2,-0.010911762714385986,1.0948361158370972,-0.020056068897247314
Corner_3,0.008015036582946777,1.0945346355438232,-0.34238022565841675
Corner_4,-0.25624287128448486,1.0995279550552368,-0.3657519817352295
Sensor_1,-0.29675114154815674,1.054079532623291,-0.03950220346450806
Sensor_2,-0.2259122133255005,1.0474008321762085,-0.043154001235961914
Sensor_3,-0.15788638591766357,1.0549209117889404,-0.032616615295410156
Sensor_4,-0.08528375625610352,1.058195948600769,-0.03805261850357056
Sensor_5,-0.2728663682937622,1.063787579536438,-0.11202752590179443
Sensor_6,0.44590893387794495,1.0874775648117065,-0.07351285219192505
Sensor_7,0.5046663880348206,1.0910091400146484,-0.03404664993286133
Sensor_8,0.5554995536804199,1.0921001434326172,-0.01935964822769165
Sensor_9,0.39504474401474,1.0534683465957642,-0.2077043056488037
Sensor_10,0.46127545833587646,1.0891835689544678,-0.1069764494895935
Sensor_11,-0.10224533081054688,1.0699384212493896,-0.19873583316802979
Sensor_12,-0.037372469902038574,1.0897409915924072,-0.15669596195220947
Sensor_13,-0.23167061805725098,1.092440128326416,-0.22834128141403198
Sensor_14,-0.16590046882629395,1.0948667526245117,-0.2180166244506836
Sensor_15,-0.08652162551879883,1.0930477380752563,-0.21519315242767334
Sensor_16,-0.0277785062789917,1.092813491821289,-0.21114057302474976
Sensor_17,-0.23583972454071045,1.0967719554901123,-0.2796564996242523
Sensor_18,-0.16625213623046875,1.0986442565917969,-0.2756115794181824
Sensor_19,-0.08861398696899414,1.0987350940704346,-0.2671269476413727
Sensor_20,-0.027663886547088623,1.0966907739639282,-0.26126837730407715
Sensor_21,-0.21481084823608398,1.0976126194000244,-0.3320470154285431
Sensor_22,-0.15511035919189453,1.0954875946044922,-0.323221355676651
Sensor_23,-0.08895647525787354,1.0960936546325684,-0.3111908733844757
Sensor_24,-0.023338913917541504,1.0951274633407593,-0.3062702715396881
