timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_roll,tracker_rot_pitch,tracker_rot_yaw,actuator_on,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1753076616.8419352,0.4361768066883087,0.3110312223434448,-0.4487212002277374,87.30906907783302,9.570775586805043,-14.643974990213847,0,-45.2775,1.4025,-41.8176,77.295,73.74,64.4325,-77.685,74.535,-91.9116,-6.1425,70.455,-4.84,-76.17,-1.2525,3.993,12.5475,6.9825,31.0002,-71.6625,-73.6425,-50.0577,-43.17,43.1475,75.6492,73.3425,19.1475,-6.05,51.9375,317.19,33.5533,-2.6925,402.7725,-3.0008,72.4425,-44.73,-17.2788,-3.945,313.5675,10.9505,72.0075,306.1725,-4.598,76.0875,-15.39,-36.6267,-2.715,-1.665,-4.8158,-37.815,73.65,104.3625,-17.715,76.6125,15.0524,-2.5125,-2.5275,59.895,71.6925,42.0,64.5414,-41.7375,33.7575,615.8779,-17.67,-3.15,117.854,-44.7375,102.84,144.0021,1.2975,-1.23,-32.9604
1753076617.206057,0.501114010810852,0.3026456832885742,-0.3393462598323822,92.2202722320906,-11.088831370088263,-14.842541150287216,0,110.1225,-3.3975,-34.0736,-4.305,-3.66,26.6805,-78.285,-3.465,-2.3716,-58.3425,31.755,9.68,-68.97,39.5475,-57.959,-64.2525,-3.2175,-59.9918,-72.5625,-73.6425,13.1043,177.93,3.5475,-15.3428,79.3425,-52.8525,-2.178,129.3375,-86.31,64.7713,152.1075,11.8725,88.9592,150.1425,-45.78,46.3672,149.955,1.5675,-51.0015,-4.9425,-0.7275,-50.094,-3.1125,-5.94,-36.1427,-3.315,35.535,-65.5578,-37.665,-3.15,110.1705,-18.165,-528.6376,-1.4036,-4.6125,93.4725,-17.545,-5.1075,-533.55,-33.9526,-32.1375,-580.6425,-3.6421,-13.47,1.65,-5.082,-37.5375,-2.91,-3.1339,-0.9525,152.37,-44.5764
1753076617.5696216,0.5676887631416321,0.29584693908691406,-0.396954208612442,91.13709613465899,-10.6152155355082,-17.49170737960125,0,194.1225,83.0025,-38.1876,150.495,112.14,26.4385,-78.435,-4.065,-91.1856,94.3575,454.755,-99.462,-1.62,459.5475,-65.219,12.5475,152.7825,124.1702,81.0375,-54.4425,129.5063,-5.97,116.9475,48.5452,-80.2575,81.5475,2.178,-14.3625,-81.36,-21.1387,18.6075,150.7725,27.0072,33.4425,-45.78,-17.5208,45.255,54.0675,72.9025,-4.9425,-1.0275,-66.55,-3.1125,128.91,90.6653,2.685,36.735,-65.0738,-37.815,-3.15,15.3065,-17.115,28.6125,246.4044,-5.2125,-0.1275,-56.023,-5.1075,37.2,190.3814,-41.7375,62.8575,0.2299,-23.07,-3.0,241.758,-47.1375,-2.91,152.7141,109.2975,-2.43,-63.9364
1753076617.9340918,0.548698902130127,0.3080921173095703,-0.5052969455718994,86.75497832043943,3.408074790002665,-12.459014736659672,0,117.6225,1.7025,19.6504,72.645,73.14,-31.6415,-1.485,-4.365,-93.3636,167.8575,70.905,-68.728,153.03,-1.2525,-61.105,-63.9525,73.5825,-56.1198,-72.2625,3.1575,-48.8477,109.23,-39.6525,-17.2788,-80.2575,-71.9025,-5.566,128.1375,-66.96,-28.6407,153.0075,1.9725,16.3592,148.7925,-26.28,-16.5528,-2.445,78.0675,-42.7735,1.0575,6.7725,-51.062,150.4875,-20.49,-21.6227,150.885,0.735,-59.0238,139.785,6.6,-17.6055,135.435,-2.5875,22.7964,167.7375,8.2725,59.895,148.4925,-1.2,-33.2266,113.6625,14.7075,-2.6741,-3.87,25.65,117.854,106.4625,41.49,20.0981,147.6975,74.37,-60.0644
1753076618.2977593,0.46544402837753296,0.3160702586174011,-0.4229132831096649,87.64474126300155,1.3259797571173375,-8.160194205576946,0,35.7225,35.0025,-10.8416,158.895,6.84,-4.0535,84.915,72.135,-95.2996,70.3575,70.755,-20.328,84.63,4.8975,-1.331,94.4475,73.5825,0.2662,100.2375,5.8575,13.1043,109.53,-39.6525,-17.2788,150.4425,16.7475,-6.05,137.7375,-64.11,-29.1247,-2.3925,95.5725,88.9592,81.4425,-43.53,-17.5208,73.155,73.5675,-49.0655,-4.9425,76.9725,3.146,-0.5625,-25.29,28.2293,150.285,16.335,-66.5258,-27.915,35.55,11.4345,-15.765,-2.5875,-2.3716,91.3875,16.6725,-64.009,26.3925,-1.2,-65.1706,-3.3375,-4.4925,646.8539,-1.47,40.05,-5.566,-46.3875,35.49,-2.6499,75.9975,37.32,-61.5164
1753076618.6621947,0.48177269101142883,0.31943368911743164,-0.33178582787513733,95.63349646364615,-18.462008453304623,-11.775138479621148,0,-45.8775,111.8025,213.4924,77.295,34.74,-35.0295,-78.885,-4.365,-59.9676,-82.0425,146.355,-18.392,-68.97,152.3475,-2.783,-24.6525,-3.2175,-60.9598,-72.2625,-68.8425,-56.5917,-43.77,-16.7025,-17.2788,112.9425,-72.0525,-5.082,-24.8625,-38.31,98.6513,-2.9925,35.5725,-3.9688,-4.3575,-7.53,28.9432,-3.645,-2.9325,-45.1935,-4.9425,-1.0275,10.89,16.0875,128.31,-36.6267,-1.515,150.735,27.1282,-33.015,-594.7501,-4.0535,-15.315,-616.3876,245.6784,13.9875,16.6725,-64.009,14.0925,-610.95,-34.1946,-32.1375,-619.0426,-3.6421,-3.87,-3.15,255.31,-37.5375,11.49,0.7381,-5.7525,611.97,187.9856
1753076619.026304,0.5250705480575562,0.33409959077835083,-0.45184311270713806,93.6180901367693,-14.735692352240468,-12.858088638755719,0,185.4225,74.0025,-26.8136,17.745,-2.16,212.2945,-40.185,113.085,-87.5556,-5.5425,422.655,163.592,-0.57,345.5475,183.073,32.3475,304.1325,-57.8138,81.0375,8.1075,-52.7197,-43.17,-39.6525,239.2412,-75.4575,81.5475,-1.21,12.9375,-86.31,219.6513,35.5575,150.7725,3.7752,-4.9575,-26.73,-17.5208,34.455,6.0675,22.5665,40.3575,3.7725,-29.766,35.2875,-20.34,-30.3347,-3.315,150.735,-51.2798,-18.615,-499.35,112.1065,-18.315,7.0125,245.4364,13.9875,-2.5275,67.639,-5.1075,1.05,184.5734,-41.7375,63.7575,-3.6421,-20.67,-1.95,257.246,-37.5375,2.19,-3.1339,-5.9025,74.37,-63.9364
1753076619.3900237,0.509715735912323,0.3756927251815796,-0.614168643951416,88.97675331009715,-5.260934390464881,-13.196795742898397,0,-45.8775,-3.2475,50.6264,91.695,73.14,-23.8975,26.715,-4.665,-75.9396,149.7075,115.155,-27.588,-67.17,-1.2525,-49.973,166.1475,-2.6175,-30.9518,81.6375,22.5075,-56.5917,118.98,-29.7525,-17.2788,73.3425,-72.0525,-2.178,-25.1625,-82.71,40.8133,151.9575,6.7725,-3.9688,149.8425,-25.53,-17.5208,-3.945,73.4175,-43.2575,-0.1425,77.7225,3.146,-0.7125,-1.14,5.4813,150.285,73.935,-50.0698,120.885,73.65,104.3625,135.585,74.5125,-2.3716,167.5875,2.4225,-63.525,158.0925,17.85,-49.6826,112.1625,52.9575,4.1019,-23.07,54.6,1.694,106.4625,10.74,-3.1339,150.0975,16.77,-59.5804
1753076619.754501,0.5360058546066284,0.3108291029930115,-0.4238598644733429,93.15469810321068,-14.765399171066958,-14.648684232770648,0,184.5225,73.4025,-41.3336,151.695,15.54,-35.5135,74.715,14.685,13.1164,82.3575,-0.195,-4.84,75.03,0.5475,11.979,90.5475,-3.2175,-54.1838,-72.5625,-72.4425,-25.1317,123.63,-20.1525,31.6052,74.5425,23.9475,-5.082,128.1375,-4.71,-13.6367,160.2075,73.9725,59.4352,-2.2575,-41.13,45.1572,-3.945,92.7675,14.8225,-2.5425,96.7725,-4.598,-2.9625,-20.49,-38.0787,159.885,75.135,-66.7678,115.785,-2.85,104.3625,32.085,-2.5875,-2.3716,155.7375,-2.5275,67.639,186.8925,20.25,89.7094,131.0625,-4.3425,124.1339,-11.07,-0.45,133.342,108.8625,115.29,136.2581,150.0975,112.77,-1.9844
1753076620.118863,0.4298388659954071,0.4261787533760071,-0.5593695640563965,90.83449505444783,-24.592261506799808,-9.883547055930723,0,189.6225,-0.3975,-2.6136,91.695,74.04,-27.7695,-2.085,-1.965,-91.1856,152.2575,127.455,-67.76,-77.97,47.9475,-3.751,-42.6525,73.5825,-61.9278,-71.9625,42.7575,5.3603,-44.37,-39.5025,-16.3108,-2.8575,-72.0525,-6.05,-25.4625,-74.01,-27.6727,25.8075,-2.8275,-3.9688,-4.3575,-45.93,-1.5488,34.455,35.4675,77.0165,38.2575,37.5225,-66.55,-1.9125,-25.29,-5.4087,35.085,151.335,-60.9598,-37.815,-521.5501,-19.5415,20.085,-2.5875,291.9004,-5.2125,151.0725,191.543,33.5925,-614.55,-63.2346,-40.8375,-465.4425,-3.4001,-23.07,-2.85,282.414,-8.7375,12.69,60.7541,-4.7025,155.97,-32.9604
