label,pos_x,pos_y,pos_z
Corner_1,-0.28370845317840576,1.078566074371338,-0.04928392171859741
Corner_2,-0.02280128002166748,1.0622655153274536,-0.018837571144104004
Corner_3,0.016040384769439697,1.0762214660644531,-0.34291189908981323
Corner_4,-0.26617586612701416,1.0638885498046875,-0.3584156930446625
Sensor_1,-0.2642742395401001,1.0403460264205933,-0.08757209777832031
Sensor_2,-0.19281315803527832,1.057009220123291,-0.05752187967300415
Sensor_3,-0.12090766429901123,1.0568926334381104,-0.05759537220001221
Sensor_4,-0.05910181999206543,1.059363842010498,-0.05347764492034912
Sensor_5,-0.23781812191009521,1.0758388042449951,-0.11503922939300537
Sensor_6,-0.16488301753997803,1.074257731437683,-0.10880959033966064
Sensor_7,-0.10294175148010254,1.0650502443313599,-0.11234581470489502
Sensor_8,-0.037233591079711914,1.068181037902832,-0.11203086376190186
Sensor_9,-0.24014067649841309,1.0695323944091797,-0.1812952160835266
Sensor_10,-0.16968131065368652,1.0642647743225098,-0.18192064762115479
Sensor_11,-0.09840631484985352,1.0673344135284424,-0.16677284240722656
Sensor_12,-0.03721344470977783,1.0697263479232788,-0.16132968664169312
Sensor_13,-0.22043895721435547,1.0846072435379028,-0.21930205821990967
Sensor_14,-0.16836822032928467,1.0642213821411133,-0.22184288501739502
Sensor_15,-0.09454643726348877,1.0671486854553223,-0.2135237455368042
Sensor_16,-0.03987908363342285,1.068263292312622,-0.21570849418640137
Sensor_17,-0.22962558269500732,1.0760420560836792,-0.27393925189971924
Sensor_18,-0.1662064790725708,1.0579545497894287,-0.26674020290374756
Sensor_19,-0.09344542026519775,1.0640716552734375,-0.25265854597091675
Sensor_20,-0.03150796890258789,1.067509412765503,-0.24724316596984863
Sensor_21,-0.2176380157470703,1.079063892364502,-0.3391684889793396
Sensor_22,-0.15084457397460938,1.078323245048523,-0.32572123408317566
Sensor_23,-0.06746053695678711,1.079575777053833,-0.319399893283844
Sensor_24,-0.018674135208129883,1.080642819404602,-0.31273379921913147
