timestamp,tracker_1_pos_x,tracker_1_pos_y,tracker_1_pos_z,tracker_1_rot_w,tracker_1_rot_x,tracker_1_rot_y,tracker_1_rot_z,tracker_2_pos_x,tracker_2_pos_y,tracker_2_pos_z,tracker_2_rot_w,tracker_2_rot_x,tracker_2_rot_y,tracker_2_rot_z,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1754500046.4563758,-0.14040809869766235,0.2939299941062927,0.18066394329071045,0.5307375789230834,0.49747063183160095,0.5562081795539507,-0.40183711397544963,-0.2109178602695465,0.2838611602783203,0.18952107429504395,0.48115255087224357,0.7137217158184916,-0.21348297525315393,0.462080678343756,9.9,105.6,0.0,0.0,91.2,0.0,1.2,76.95,0.0,0.0,0.0,2.662,9.75,9.6,0.242,2.4,0.0,0.0,0.0,87.0,0.0,1.5,81.6,9.68,5.1,0.15,0.726,1.5,77.4,0.0,0.0,1.2,7.744,7.2,19.2,62.194,1.2,86.4,1.936,0.15,3.0,0.484,5.4,100.8,15.972,0.0,96.0,0.0,0.0,235.8,0.0,0.0,76.8,0.0,0.15,1.2,0.0,0.3,153.6,0.0,0.15,0.0,0.0,0.0,96.3,1.936,0.3,0.0,0.0,4.8,96.75,0.0
1754500046.8151739,-0.13899102807044983,0.2967856526374817,0.18005001544952393,0.5320123188779081,0.502524394965393,0.5522432858114904,-0.39932379307668986,-0.20942804217338562,0.2869936227798462,0.1881321668624878,0.48049854929595276,0.712461493940694,-0.2141041194347917,0.46441274960855994,4.8,77.7,8.712,0.0,87.6,7.744,9.6,76.8,0.0,1.2,2.55,3.872,0.0,2.4,261.602,0.3,0.0,0.0,9.9,88.95,0.0,0.0,96.0,0.0,6.0,0.0,15.73,0.0,76.8,62.194,19.2,0.3,0.726,19.8,0.0,0.0,0.0,96.0,7.744,0.6,0.0,15.972,0.0,87.15,0.0,0.0,97.2,1.936,24.0,230.4,0.242,0.0,76.8,2.904,20.55,0.6,1.936,0.0,156.0,3.872,21.6,0.0,0.0,0.0,76.8,0.0,0.0,4.8,0.968,0.15,76.8,0.0
1754500047.174936,-0.14192497730255127,0.28296607732772827,0.18477463722229004,0.538819099152666,0.5289309196216115,0.5291213534724943,-0.38721655921639636,-0.21165111660957336,0.2751561999320984,0.18803954124450684,0.45810459220906524,0.7115818970356338,-0.2350201027985091,0.47807625802624654,11.55,106.8,1.936,5.4,79.5,7.744,9.6,24.0,0.0,0.0,9.6,0.0,2.4,10.2,0.968,6.6,76.8,16.456,0.0,76.8,0.0,0.0,76.8,2.178,0.0,0.0,0.242,1.2,24.0,15.488,2.7,19.2,0.0,0.3,0.0,0.0,0.3,100.8,15.972,4.35,0.6,30.976,0.0,96.0,1.936,9.75,79.2,0.0,33.6,231.0,0.242,1.5,86.4,0.968,0.9,0.0,0.0,12.0,163.35,0.0,9.6,0.9,125.84,0.0,77.1,0.968,0.9,0.15,0.0,10.2,76.8,1.936
1754500047.536963,-0.13893133401870728,0.25679588317871094,0.14784026145935059,0.5394878471575005,0.5391463901980172,0.5214752519583108,-0.38254098019529487,-0.20884260535240173,0.24864131212234497,0.14737308025360107,0.41688150271662827,0.7266837039470074,-0.25464468886171965,0.4830079495286017,0.75,105.6,7.744,4.95,77.25,15.972,0.6,33.6,0.0,15.0,38.4,0.484,4.8,2.4,0.0,0.0,0.0,0.0,0.0,79.2,2.904,0.15,84.0,3.872,21.6,0.15,0.968,19.2,19.2,62.436,21.3,4.8,0.0,0.0,14.4,0.484,0.0,105.6,15.488,0.0,9.6,15.488,4.5,76.8,0.0,12.0,76.8,8.712,0.9,230.4,0.0,0.15,86.7,0.242,4.8,19.2,15.488,9.6,153.75,0.0,0.0,0.0,0.0,0.0,76.95,8.228,12.0,0.0,0.484,1.2,76.95,0.0
1754500047.8963876,-0.11083972454071045,0.2821540832519531,0.13528209924697876,0.5773465289409073,0.5829163730970264,0.4599250276707686,-0.33962982528494345,-0.1802332103252411,0.27270573377609253,0.12524044513702393,0.3557512823768995,0.7122105895329744,-0.2824235677760953,0.5351953248748785,9.9,83.4,14.762,10.2,81.6,0.484,1.35,76.8,4.356,2.4,0.0,1.936,1.2,0.3,0.0,2.7,0.0,0.484,4.95,76.8,0.0,0.9,76.95,0.0,3.9,20.4,0.242,28.8,0.0,0.0,5.1,6.0,7.744,4.8,19.2,0.0,0.0,81.6,4.84,10.8,0.15,0.0,2.4,105.6,17.424,19.2,103.5,7.986,0.6,232.8,3.872,0.0,76.8,0.0,0.0,6.15,4.114,0.3,154.5,0.968,0.0,4.8,7.744,0.6,96.15,0.0,0.0,0.0,3.872,4.8,105.6,15.972
1754500048.2570753,-0.07701069116592407,0.312191903591156,0.11224067211151123,0.5771437887224007,0.6301926512184188,0.4015097209373365,-0.32947266701548455,-0.14497143030166626,0.30690717697143555,0.09383845329284668,0.24761678026066128,0.7453271462542885,-0.2965428500298243,0.5433559805381327,19.8,82.2,6.292,12.3,77.4,0.0,9.6,76.8,0.0,9.6,39.3,0.968,0.0,1.8,30.976,3.0,115.8,15.488,0.3,77.4,0.0,19.2,76.8,0.968,0.6,0.0,5.808,0.15,19.5,7.986,1.2,0.0,0.242,22.2,9.75,0.0,0.0,76.8,17.424,0.0,0.0,7.744,4.8,77.1,3.872,0.0,76.8,0.0,0.0,249.6,0.0,1.2,97.2,0.242,0.0,22.05,0.0,1.35,153.6,0.0,0.0,0.3,20.328,0.0,86.4,11.616,0.0,10.2,7.744,4.8,98.4,4.84
1754500048.6158495,0.03944206237792969,0.23213708400726318,0.10704749822616577,0.6643069728863105,0.5875396649833681,0.3680452961486815,-0.27934937698060847,-0.14082276821136475,0.25603681802749634,0.06735312938690186,0.37656123240086004,0.7327006102100599,-0.3022138525911556,0.47960219831410006,21.9,112.8,16.456,0.45,76.95,0.0,0.6,0.0,0.242,0.0,38.7,0.0,9.75,1.5,0.0,4.8,100.8,0.968,19.5,76.8,1.936,15.0,76.8,0.242,2.55,20.4,0.0,0.6,76.8,61.952,0.0,9.6,0.968,0.3,0.0,0.0,22.8,93.9,7.744,0.3,10.35,0.242,9.6,99.3,0.242,0.0,76.8,1.936,38.7,249.75,0.0,38.4,97.35,7.986,2.4,0.0,0.0,7.8,153.6,0.0,0.0,0.0,1.936,48.3,91.2,8.712,14.4,0.3,0.0,0.6,77.1,0.0
1754500048.97656,0.04180470108985901,0.1958523988723755,0.10504931211471558,0.6530936550759272,0.6274656334087361,0.2870728130043654,-0.31200123007852987,-0.12554466724395752,0.2950403690338135,0.1068718433380127,0.5125569147687841,0.7062677325461555,-0.3330089283348353,0.35717835549779486,0.3,77.1,313.632,0.9,39.6,0.0,0.0,0.3,0.242,0.0,39.0,30.976,0.45,0.3,3.872,3.0,39.0,0.484,0.0,115.35,3.872,0.6,78.0,0.0,1.2,34.2,2.42,0.0,0.15,0.242,0.0,76.8,0.0,7.2,31.2,1.936,1.8,0.0,3.872,0.0,77.1,46.464,1.2,76.8,2.904,0.0,96.6,3.872,0.6,230.4,0.242,38.4,153.9,185.856,9.75,0.0,193.6,4.8,155.1,141.328,39.6,0.15,4.356,9.6,86.4,185.856,0.0,235.2,7.744,0.6,77.4,55.418
1754500049.3389955,0.04223567247390747,0.19633889198303223,0.1062239408493042,0.652464852363575,0.6344297023735,0.2859476793440325,-0.3000374751536131,-0.11233028769493103,0.3752596378326416,0.22586989402770996,0.4806760507563691,0.8105664951753396,-0.323535836541058,0.08518825363115222,0.0,115.2,0.968,1.2,39.0,30.976,0.0,5.4,0.0,1.2,40.8,0.0,9.6,76.8,30.976,0.0,39.6,2.662,4.8,76.95,278.784,0.0,76.8,1.936,0.0,0.0,0.0,9.9,77.4,31.46,0.0,77.1,0.0,0.0,0.0,30.976,0.3,0.0,8.712,9.6,78.0,1.936,0.15,96.0,38.72,9.6,76.95,30.976,4.8,249.75,0.968,39.0,76.8,0.0,10.2,19.2,0.242,0.0,154.2,0.968,10.8,249.6,123.904,38.4,78.0,1.936,9.6,9.6,0.968,0.0,76.8,7.744
1754500049.6979322,0.04220855236053467,0.19622313976287842,0.10629737377166748,0.6509819058368654,0.6366682971121976,0.2864178990533451,-0.2980618027797546,-0.153668612241745,0.46774303913116455,0.3666020631790161,0.5577513404784772,0.7201595408960499,-0.21984198667973265,0.349217972138117,5.1,116.4,279.268,9.75,38.4,34.848,2.4,4.8,0.0,19.2,9.9,0.0,2.4,117.6,11.616,0.15,0.0,0.0,0.0,76.8,2.42,4.95,76.8,0.968,9.9,0.6,3.872,10.35,76.8,7.744,9.6,82.8,33.88,0.0,0.0,2.662,10.2,9.6,0.0,0.0,2.4,4.356,0.6,77.1,38.72,0.0,80.4,54.692,0.0,230.4,0.968,38.4,76.8,3.872,9.6,0.3,185.856,2.1,163.2,186.098,0.0,3.6,7.744,2.4,76.8,185.856,0.0,0.0,5.808,0.0,78.0,34.848
