timestamp,patch1_inference_enabled,patch2_inference_enabled,tracker1_pos_x,tracker1_pos_y,tracker1_pos_z,tracker1_rot_roll,tracker1_rot_pitch,tracker1_rot_yaw,tracker1_rot_quat_x,tracker1_rot_quat_y,tracker1_rot_quat_z,tracker1_rot_quat_w,tracker2_pos_x,tracker2_pos_y,tracker2_pos_z,tracker2_rot_roll,tracker2_rot_pitch,tracker2_rot_yaw,tracker2_rot_quat_x,tracker2_rot_quat_y,tracker2_rot_quat_z,tracker2_rot_quat_w,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1754654453.7899718,0.0,0.0,0.26506471633911133,1.0106922388076782,-0.16059862077236176,-90.17370717828503,-25.17357315039723,-179.63919697640264,-0.15603306058565541,0.6906703733276987,-0.6895484613121731,-0.15215448263044515,-0.2059120535850525,1.004804253578186,-0.16216297447681427,89.9855858804089,23.63772656425162,-0.8038248180953133,0.6930280086081618,0.1399886904544473,-0.14966219578098905,0.6911703401989722,-128.6,-66.2,-39.41,-138.8,84.0,-49.74,-93.0,29.6,-47.16,-116.2,88.2,-43.28,-97.0,26.2,22.29,-111.2,49.6,-60.4,-102.0,42.6,-57.49,-24.2,62.8,-75.91,-106.2,16.2,-18.09,-92.8,45.0,-29.07,-72.6,-1.0,-70.09,-113.2,48.2,-49.74,-78.4,-5.0,-40.38,-88.4,7.4,-36.18,-97.4,25.8,-64.6,-100.6,31.2,-59.43,-142.8,1.4,-32.95,-112.2,37.4,-81.07,-108.2,15.0,-38.76,-130.2,-26.2,-56.85,-96.2,22.6,-46.84,-97.6,3.0,-44.25,-75.4,1.8,-66.86,-97.8,3.8,-56.53
1754654468.1053405,1.0,1.0,0.14328622817993164,1.0141041278839111,0.10462023317813873,-89.26329329441778,-55.56012774063227,179.72439655686185,0.3301834881477061,-0.6223689001954451,0.6288275996224183,0.328955232945547,-0.010394394397735596,1.013027548789978,0.11276032030582428,88.69776031007437,60.37828601605927,-1.4344723883645132,0.6086707304171222,0.35199901191408517,-0.35921912657825383,0.6136595953129946,-128.8,-65.8,-40.38,-138.6,83.8,-50.07,-93.0,29.6,-46.84,-116.2,87.2,-42.96,-97.2,25.8,22.29,-111.4,49.8,-61.05,-102.0,42.2,-57.82,-24.4,61.8,-76.87,-106.0,14.6,-21.32,-107.6,34.4,0.32,6.6,-13.2,-71.38,-68.2,48.2,-58.79,-118.6,-36.0,530.37,138.4,40.2,114.67,6.0,47.8,-70.41,-54.4,47.6,-66.22,-150.2,275.8,274.55,50.6,160.2,5.17,-28.0,57.4,-43.28,-85.8,5.6,-60.4,-92.4,174.6,-13.89,-35.8,97.0,-35.21,-20.0,48.2,-69.77,-37.2,54.8,-62.02
1754654468.1053405,1.0,1.0,0.14328616857528687,1.0141040086746216,0.10462026298046112,-89.26328547454523,-55.5601078159512,179.72436971182012,0.33018326721622665,-0.6223690049369248,0.628827613507224,0.3289552366973417,-0.01039433479309082,1.0130276679992676,0.11276040971279144,88.69766662618225,60.37828510097183,-1.4345430791011795,0.6086704535216092,0.3519989274761881,-0.35921921167849674,0.6136598744781611,-223.0,-142.8,657.31,145.2,15.4,200.91,47.0,-1.8,-42.64,-44.4,35.4,-50.07,-161.8,78.8,370.8,122.2,101.0,81.72,22.8,35.4,-60.4,32.6,38.6,-87.86,-162.2,-8.8,208.01,90.8,66.6,57.49,35.6,4.2,-75.26,-65.0,48.2,-58.14,-119.8,-36.2,530.37,138.6,40.4,115.63,6.4,47.4,-70.41,-54.2,47.6,-66.54,-150.0,276.0,275.2,50.0,160.0,4.52,-28.0,57.6,-42.96,-86.8,5.2,-61.05,-92.6,174.2,-14.21,-36.0,97.6,-35.53,-20.0,48.8,-69.44,-37.6,55.0,-62.34
1754654469.0200448,1.0,1.0,0.14320188760757446,1.0141839981079102,0.10461686551570892,-89.26967270383008,-55.55163378003758,179.70966191784822,0.3300384293554079,-0.6224705098835809,0.6287753432802153,0.3290084134780153,-0.010167241096496582,1.0127623081207275,0.11275626718997955,88.75560095472218,60.385693061789055,-1.3024774039895044,0.6085524684406723,0.35255906910604445,-0.35872877468075764,0.6137421938741848,-223.0,-142.6,657.95,145.8,15.6,201.55,47.0,-2.4,-42.31,-44.8,35.6,-50.07,-162.0,79.2,370.8,122.2,101.2,82.04,22.8,35.8,-61.05,32.8,39.0,-88.5,-161.6,-9.0,207.69,90.6,67.0,56.85,35.6,4.2,-75.58,-64.6,48.4,-58.46,-119.8,-36.0,530.69,139.4,40.2,115.31,6.4,47.8,-71.06,-54.2,48.4,-67.51,-150.4,276.0,275.2,50.8,160.4,4.85,-28.0,57.2,-42.96,-86.6,5.2,-60.4,-92.0,174.6,-13.89,-35.8,97.4,-34.88,-20.0,48.6,-69.77,-37.0,54.8,-61.69
