timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_w,tracker_rot_x,tracker_rot_y,tracker_rot_z,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1754377088.537186,0.3036454916000366,0.31072622537612915,0.2938178777694702,0.13706724640761891,0.13735153213620682,0.739783413893004,-0.6442574065927548,-12.675,-15.72,-66.066,-13.5825,-3.825,25.3132,5.82,16.5,-71.1722,-10.665,30.9525,-6.6429,-13.1475,-29.8275,-6.8002,-13.6425,111.8325,271.0642,4.08,-3.885,-53.0101,-22.05,11.835,3.4243,5.955,-2.535,-13.9755,-11.385,-10.815,-10.527,-3.39,-9.21,-27.4307,1.7775,-8.1,-2.3837,-7.5225,11.055,-18.1984,2.9475,-3.8175,-4.477,12.87,-5.2575,-7.1148,3.0,15.5625,2.0449,19.8825,20.5875,-13.0196,0.0375,14.175,-29.9233,9.2925,-15.2475,-51.3645,-2.355,3.915,-13.0801,37.4925,-15.1575,-10.527,-1.425,-6.045,-50.9652,-9.4575,4.38,-19.4931,-1.095,-3.42,-2.8193
1754377088.899667,0.31440436840057373,0.30549144744873047,0.31345605850219727,0.13736082900636398,0.10877997916358742,0.7308005354626226,-0.6597192500942385,-2.775,15.93,-66.792,-13.5825,-3.825,40.8012,-18.03,16.2,-69.9622,22.935,31.1025,-5.6749,17.7525,48.9225,-8.2522,10.3575,-12.9675,-15.9478,-14.97,-2.085,194.7979,-3.15,-6.165,-0.6897,25.155,-3.735,-13.9755,-11.385,-12.015,35.453,-6.39,10.14,-28.3987,22.0275,-3.3,11.8943,30.7275,-8.145,-18.1984,-12.9525,-3.2175,-11.737,-15.93,-5.2575,-8.3248,5.4,-3.0375,56.2529,-26.3175,17.4375,-12.5356,0.0375,-5.025,-29.9233,9.2925,3.9525,126.7475,3.645,-0.885,-12.5961,-20.1075,-15.0075,-11.979,-5.775,8.355,-50.7232,4.6425,-2.97,-21.4291,-22.695,-4.17,-2.8193
1754377089.2621198,0.23039519786834717,0.25597816705703735,0.2947608232498169,0.1081870853159036,0.06574609967687757,0.7053385459021871,-0.6974743989043255,14.175,-12.72,235.224,-2.7825,22.575,-3.7268,16.02,20.85,193.0918,4.935,-7.2975,-5.6749,-13.2975,-25.4775,-10.6722,5.5575,93.8325,-15.9478,6.48,-3.885,247.0699,6.45,17.985,63.1983,6.555,-2.835,47.9765,-11.385,-2.415,-22.627,-5.79,-9.21,-24.5267,-7.9725,-1.5,-3.5937,-0.3225,-5.745,-10.4544,-16.5525,26.7825,3.267,14.07,-5.5575,4.5012,3.0,-3.6375,-5.6991,10.2825,5.4375,-13.0196,0.0375,-4.725,-29.1973,9.2925,8.7525,134.4915,-21.555,18.315,185.3599,-19.5075,-15.0075,-12.463,14.625,-10.845,-50.9652,-12.1575,-2.97,-21.4291,-3.495,-1.92,12.6687
1754377089.6255152,0.14214488863945007,0.22453796863555908,0.26296675205230713,-0.06023960279116284,-0.0866755905289992,-0.6890932873405331,0.7169441889016535,23.325,-15.57,-51.062,-13.5825,-6.225,-5.6628,-17.88,11.25,-71.1722,-14.265,-1.8975,-6.6429,-2.4975,46.8225,43.5358,15.1575,-12.9675,-15.9478,-15.12,-4.185,-54.9461,-1.95,-6.165,5.6023,5.955,-3.735,-13.0075,-6.585,26.385,12.221,-6.24,16.14,-28.3987,20.8275,23.4,-3.5937,-10.0725,-8.145,-17.2304,-16.5525,33.9825,-4.477,13.02,-5.5575,-9.2928,0.6,-3.6375,-5.6991,-8.9175,5.4375,-13.0196,0.0375,-5.025,-29.9233,1.4925,-15.2475,-51.1225,10.245,23.115,172.7759,-20.1075,-15.1575,-11.979,5.025,-7.245,-48.5452,-14.4075,13.83,-19.9771,17.505,-1.92,-2.8193
1754377089.988271,0.11672639846801758,0.2177748680114746,0.26243555545806885,-0.046460079785891686,-0.08678098521389489,-0.6844608727614501,0.7223737422221241,-4.425,-15.72,216.832,-13.5825,-1.425,-4.6948,-22.38,40.05,238.5878,22.935,-2.6475,-6.6429,5.7525,-30.2775,-10.1882,-12.4425,-12.6675,-15.9478,13.68,-4.485,-46.9601,-22.35,-2.115,-0.6897,-13.245,-3.735,-10.1035,29.415,11.985,36.421,-6.39,-9.36,-24.0427,-17.1225,-6.9,-3.5937,6.7275,-8.145,-14.0844,-14.1525,-4.4175,-12.221,12.87,-5.5575,-9.2928,-18.6,20.3625,-4.9731,-6.5175,6.9375,-12.7776,9.6375,-0.225,163.6767,9.2925,-15.2475,126.7475,17.295,-5.685,173.7439,37.4925,15.4425,-10.527,-42.975,8.355,134.8908,7.0425,6.63,-21.1871,6.105,1.08,-2.8193
1754377090.3518012,0.11605197191238403,0.2147897481918335,0.2696188688278198,-0.031683914358953305,-0.08879077244890124,-0.6821541968887457,0.7251054840436012,13.575,8.28,235.708,24.9675,32.175,-5.6628,-4.98,11.25,-63.4282,22.935,30.9525,56.2771,-13.4475,-30.2775,28.5318,15.4575,-12.6675,-8.2038,-12.72,2.715,-54.9461,-21.15,-4.965,-0.6897,3.555,15.465,-13.9755,-1.035,64.785,-24.563,-3.84,-9.36,18.0653,20.8275,68.7,-2.6257,-0.4725,-8.145,-16.2624,21.8475,-4.4175,-12.221,-15.93,-5.5575,-3.4848,-18.45,-3.6375,60.1249,15.0825,7.8375,35.3804,0.0375,-4.575,-29.9233,9.2925,-10.4475,-47.2505,7.245,-5.685,-5.3361,47.6925,-243.1575,-12.463,-45.225,-10.395,-50.9652,4.6425,-5.37,-12.4751,20.505,15.48,-2.5773
1754377090.714285,0.09409558773040771,0.18165862560272217,0.2459242343902588,-0.08899764033638917,-0.10736633931974256,-0.6628937883316326,0.7356111111500623,-3.525,20.28,-61.952,-8.7825,-6.225,33.0572,-20.58,20.85,186.3158,-15.165,30.9525,39.8211,8.1525,-20.5275,36.2758,8.5575,-1.5675,-14.9798,4.08,-4.485,192.8619,-16.35,-7.365,49.6463,5.955,-3.735,-13.9755,-7.185,64.785,-18.755,3.21,-9.36,34.0373,-17.5725,-8.1,58.3583,-9.9225,-82.545,-18.1984,-11.7525,24.9825,-10.285,-15.78,-5.5575,-9.2928,20.1,-3.0375,-5.6991,-27.5175,5.7375,-13.0196,0.0375,-4.725,-29.9233,-9.9075,5.4525,134.4915,16.845,-5.085,-13.0801,-12.9075,16.3425,-12.463,12.225,8.355,-35.4772,-14.5575,-5.37,-21.4291,15.705,0.78,44.1287
1754377091.0774708,0.06945666670799255,0.1641789674758911,0.2164522409439087,-0.1698803261288801,-0.08915426861975216,-0.6325182981534475,0.7504084016559941,-13.725,-13.17,232.32,8.0175,-6.225,-5.6628,-21.63,40.05,-68.7522,-14.265,-2.6475,-6.6429,15.3525,-30.2775,-10.4302,10.3575,-11.7675,263.5622,-12.72,-2.085,192.8619,-21.15,-7.365,-0.6897,8.505,-3.435,-10.1035,-11.085,66.585,-3.267,27.21,-9.36,-27.6727,-17.5725,-6.9,59.3263,-0.4725,-7.695,-13.3584,-16.5525,-2.0175,-12.221,-15.93,-5.5575,-9.2928,1.8,-3.6375,29.1489,10.2825,15.6375,56.9184,0.6375,-5.025,117.2127,14.0925,-12.2475,111.5015,-2.355,-5.685,161.4019,-10.5075,8.8425,-10.527,12.825,8.355,121.5808,-14.5575,4.53,-20.9451,-2.295,-1.92,47.5167
1754377091.4401996,0.05804070830345154,0.1601874828338623,0.19760465621948242,-0.20304312182456621,-0.1914659429049132,-0.5673557088574845,0.7747398066587153,-15.075,15.48,-66.066,5.6175,22.575,25.3132,-15.78,32.85,-65.3642,-15.315,32.1525,1.1011,-13.4475,-1.4775,28.0478,-13.6425,-6.9675,-15.9478,4.08,5.115,231.8239,-22.35,-6.765,7.0543,-7.845,-3.135,32.4885,-6.585,64.785,37.873,-4.89,-9.36,33.5533,16.0275,27.9,-2.6257,-8.8725,13.455,-18.1984,-15.3525,-0.8175,18.755,-15.93,4.0425,37.1712,19.8,1.1625,-5.6991,-8.9175,5.4375,18.4404,0.1875,18.975,-29.4393,-9.9075,8.7525,142.2355,-21.405,-5.685,180.5199,-20.1075,13.6425,51.425,3.825,8.355,-50.9652,4.6425,5.43,-19.4931,-3.495,24.48,2.0207
1754377091.8037326,0.05554121732711792,0.16332578659057617,0.18113958835601807,-0.2918389017552807,-0.23475690785871692,-0.6507249579876094,0.6605121116130542,1.125,-15.72,231.594,5.6175,-6.225,-5.6628,-19.38,11.25,-70.9302,-15.465,21.8025,44.6611,-3.8475,-30.2775,51.2798,-7.4925,-12.8175,-15.9478,-14.82,19.515,-53.0101,-3.15,-5.865,-0.6897,7.155,26.415,-13.9755,8.115,64.785,-9.075,-6.39,9.84,-3.2307,6.4275,68.85,-3.5937,28.4775,13.455,-16.9884,-4.5525,-4.4175,-8.349,-15.93,-5.5575,-9.2928,-18.6,-3.6375,56.2529,-26.9175,10.2375,50.1424,20.4375,5.175,-29.9233,10.4925,-14.0475,-51.3645,-21.555,-5.685,135.9919,-19.5075,-15.1575,49.973,-44.175,8.355,119.4028,-12.1575,-0.27,-5.9411,-22.695,-4.32,5.4087
