timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_roll,tracker_rot_pitch,tracker_rot_yaw,tracker_rot_quat_x,tracker_rot_quat_y,tracker_rot_quat_z,tracker_rot_quat_w,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1754646303.4451585,0.14915961027145386,1.014796257019043,0.11187393963336945,-89.8311442265548,-38.88318313262406,-179.75631439021151,0.2371193345077421,-0.665302433833658,0.668268495677516,0.23358980456651057,-22.8,276.4,451.88,80.2,114.4,35.53,-35.4,56.4,-42.96,-56.4,55.8,-39.73,-83.6,227.8,43.61,-16.8,71.2,-75.26,-53.0,40.8,-72.35,6.4,48.8,-71.71,-95.0,77.0,-26.49,-57.4,94.8,-33.92,-47.8,16.4,-65.89,-94.2,50.0,-42.96,-71.4,21.6,-47.16,-75.0,28.0,-39.41,-78.6,38.2,-63.63,-83.8,43.2,-51.03,-136.2,16.4,-37.15,-100.2,50.4,-81.72,-92.8,28.2,-33.59,-109.6,-4.6,-47.8,-90.6,30.8,-46.84,-85.8,11.4,-41.02,-51.8,17.2,-58.46,-53.4,43.8,-51.03
1754646316.2444901,0.10608386993408203,1.0152587890625,0.1004306823015213,-89.96499328194389,-40.31534687619194,-179.83133865093333,0.2447232385070583,-0.6632326960821623,0.6643554933453485,0.24262036025743278,19.0,179.2,622.1,105.4,79.8,53.62,-31.2,46.2,-40.7,-56.0,53.8,-39.08,-68.4,297.0,134.69,-2.2,76.4,-69.44,-35.6,35.4,-63.31,13.4,46.6,-73.32,-99.4,138.0,-1.62,-41.4,133.4,-21.96,-30.2,30.0,-65.25,-87.4,52.4,-44.9,-72.8,42.4,-48.77,-70.0,45.8,-40.38,-73.8,45.4,-63.31,-81.4,45.6,-52.0,-136.8,21.4,-38.44,-99.4,54.8,-82.04,-91.2,31.2,-34.56,-108.8,-3.2,-48.77,-90.6,32.4,-47.8,-85.4,13.2,-42.31,-51.6,18.4,-58.79,-53.0,44.2,-51.03
1754646330.3454812,0.1058802604675293,1.015350580215454,0.10057099163532257,-89.8796405280397,-40.21271149399033,179.98834879864054,0.24326546052014184,-0.6633398697899157,0.6646853018874062,0.24288986715147198,-115.4,9.8,758.4,156.8,50.2,140.83,-10.6,36.6,-34.24,-50.0,51.4,-39.08,-110.8,345.4,246.77,11.8,84.8,-40.7,-19.8,41.6,-56.53,16.0,47.2,-73.32,-100.6,138.8,-0.32,-41.2,134.8,-20.67,-30.0,30.2,-64.6,-87.0,52.6,-44.57,-73.2,42.6,-48.77,-69.8,46.0,-40.7,-73.2,45.6,-64.28,-81.2,45.8,-52.0,-136.8,21.4,-38.11,-99.4,55.6,-82.69,-91.0,31.2,-34.56,-108.2,-3.4,-48.13,-91.2,32.4,-47.8,-85.4,13.4,-42.96,-51.6,18.6,-58.46,-52.8,44.0,-51.36
1754646344.4565873,0.056696414947509766,1.0146220922470093,0.0999036580324173,-90.03573807442203,-35.065331550601634,-179.77173980430402,0.21429215764130666,-0.6740431132697514,0.6744711389443229,0.21173887328865945,-115.8,10.4,761.63,157.2,50.8,140.83,-10.6,37.0,-33.92,-50.4,51.2,-39.73,-111.0,346.4,247.1,11.8,85.4,-40.38,-19.2,41.8,-56.53,16.0,47.8,-73.0,-100.6,139.0,-0.32,-41.4,134.6,-20.03,-29.2,30.4,-64.6,-87.2,52.2,-45.22,-73.0,42.2,-48.77,-70.0,45.4,-40.05,-73.2,45.6,-64.28,-81.2,45.8,-52.0,-137.0,20.6,-38.44,-99.4,55.0,-82.04,-91.8,31.2,-34.56,-109.0,-3.8,-49.42,-91.2,33.0,-49.1,-84.4,18.8,-45.54,-49.8,23.8,-62.66,-50.8,47.6,-54.26
1754646357.4936042,-0.011437058448791504,1.0149717330932617,0.07629038393497467,-90.08558615951623,-22.89926855921262,-179.5863348964989,-0.14276311295404248,0.6930416291649453,-0.6930197842097211,-0.13796924225865126,-198.6,-349.4,381.14,55.0,-169.0,147.29,8.2,-20.8,-23.9,-42.2,39.0,-39.08,-283.0,173.6,680.88,45.6,54.4,169.25,62.6,27.0,-4.2,36.4,42.0,-75.58,-163.0,279.2,166.99,19.4,232.4,63.95,19.6,59.0,-53.62,-70.2,57.6,-46.84,-86.6,105.6,-34.56,-52.4,97.4,-31.65,-54.6,66.4,-67.18,-72.0,52.8,-55.56,-140.0,43.4,-42.96,-94.2,74.8,-86.89,-85.0,42.6,-39.08,-104.0,2.2,-51.36,-92.0,40.6,-51.68,-84.8,21.8,-45.87,-49.6,24.4,-62.34,-50.8,47.6,-53.62
1754646371.5187972,-0.011523544788360596,1.015267014503479,0.07611154019832611,-90.38324669768447,-22.936256916026533,-179.41919239342454,-0.1436402856355167,0.6945843958762373,-0.6913741913719794,-0.13755591936579026,-198.2,-349.2,381.46,55.4,-168.4,147.93,8.4,-20.6,-24.23,-42.2,39.0,-39.08,-283.0,173.6,680.88,45.4,54.6,168.93,62.0,27.6,-4.52,36.4,42.0,-75.26,-163.0,279.6,166.99,19.6,232.4,63.63,19.4,59.4,-53.3,-70.2,57.2,-47.16,-86.4,105.8,-33.59,-52.6,97.0,-32.62,-54.4,66.8,-66.86,-71.8,53.0,-55.23,-140.2,43.0,-43.61,-94.6,75.2,-86.56,-84.8,42.4,-39.08,-104.2,2.2,-51.68,-92.2,40.8,-52.0,-84.8,21.6,-45.54,-49.8,24.2,-61.69,-50.4,46.6,-53.62
1754646386.5214577,-0.027369141578674316,1.0162416696548462,0.1152011901140213,-90.59143371259796,-24.06107304600106,-179.2148705591646,-0.1513809714385035,0.6941156129981045,-0.6889965699102722,-0.14342580629923396,-198.0,-349.2,381.14,55.2,-168.6,146.97,8.4,-20.6,-24.23,-41.6,39.4,-38.76,-282.8,173.8,679.92,45.6,54.0,169.25,62.6,27.2,-4.2,36.0,42.2,-75.91,-163.0,279.8,167.31,19.4,232.2,63.95,19.6,59.6,-53.3,-69.6,57.2,-46.51,-86.4,105.2,-34.24,-52.4,96.8,-31.98,-54.6,66.8,-66.86,-71.6,52.2,-55.23,-139.8,43.4,-42.64,-94.2,75.4,-86.89,-85.2,42.2,-38.76,-104.0,2.0,-51.68,-92.2,40.8,-52.33,-84.6,21.6,-46.19,-49.0,24.0,-62.34,-50.6,47.4,-53.3
1754646400.0064807,-0.09587615728378296,1.0160075426101685,0.12092094123363495,-90.2818748245947,-22.175246095878325,-179.687017339232,-0.13754816600919575,0.695239779200256,-0.6925687871633136,-0.13442668132904007,-198.6,-348.6,381.14,55.2,-168.2,147.93,8.2,-20.8,-23.9,-41.6,39.4,-38.76,-283.0,173.6,680.56,45.6,54.2,169.25,62.4,27.6,-4.52,35.8,41.8,-75.26,-163.4,279.6,166.67,19.4,232.2,63.31,19.6,59.6,-53.94,-70.8,57.4,-47.8,-86.2,105.8,-33.92,-51.8,96.8,-31.98,-54.2,66.8,-66.86,-72.0,52.8,-55.23,-140.2,43.2,-42.96,-94.8,75.0,-87.21,-84.8,42.2,-39.41,-103.8,2.2,-52.33,-91.8,40.4,-52.0,-84.4,21.6,-46.19,-49.8,23.8,-62.02,-50.8,47.8,-53.62
1754646413.4340878,-0.09617018699645996,1.0167338848114014,0.12062977254390717,-90.23618133487612,-21.6591583763273,-179.82807881615,-0.1336269916252648,0.6957437381032504,-0.6932794926964456,-0.13209074473052623,-198.4,-349.0,381.46,55.2,-168.4,147.29,8.2,-21.0,-23.9,-41.8,39.0,-39.41,-282.8,173.4,680.24,45.8,54.0,168.61,62.0,27.6,-4.52,35.8,42.4,-75.91,-163.8,279.6,166.99,19.2,232.8,62.99,19.6,59.8,-53.62,-70.4,57.4,-47.48,-86.4,106.0,-33.59,-52.2,97.4,-32.62,-54.6,67.2,-66.54,-71.8,52.8,-55.23,-140.2,43.4,-42.96,-94.0,75.6,-86.89,-84.8,42.8,-38.44,-103.8,2.4,-51.03,-91.8,45.2,-53.62,-81.6,32.6,-48.77,-42.8,33.4,-65.89,-46.2,50.6,-57.17
1754646427.9735546,-0.15657705068588257,1.0153286457061768,0.12813784182071686,-89.79749755015156,-25.98380513380322,179.76003976503495,0.15780707611891145,-0.6881194406332519,0.6898888100642273,0.1601308535730844,-124.6,-218.4,21.32,-86.6,-154.0,6.78,-32.2,-23.6,-32.3,-52.2,36.8,-36.82,-236.8,-280.8,404.72,25.4,-23.2,80.43,31.0,-2.0,-23.58,30.6,34.0,-74.61,-305.0,140.6,686.05,205.0,95.6,273.58,51.6,20.4,-42.64,-64.4,49.2,-48.45,-142.2,269.0,144.7,43.0,185.0,63.95,-11.4,72.0,-61.37,-60.8,51.4,-58.14,-147.8,115.2,-26.81,-65.6,125.2,-77.52,-64.6,56.2,-41.67,-96.6,4.2,-54.59,-92.6,65.2,-55.88,-77.4,41.6,-49.74,-41.6,33.4,-65.89,-46.2,50.2,-56.53
