timestamp,tracker_1_pos_x,tracker_1_pos_y,tracker_1_pos_z,tracker_1_rot_w,tracker_1_rot_x,tracker_1_rot_y,tracker_1_rot_z,tracker_2_pos_x,tracker_2_pos_y,tracker_2_pos_z,tracker_2_rot_w,tracker_2_rot_x,tracker_2_rot_y,tracker_2_rot_z,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1754499712.0590975,-0.0027029812335968018,0.12115705013275146,-0.2704741954803467,0.4961258116336149,0.5657181563972979,0.4857861053843344,-0.4447854107422547,0.2833334803581238,0.1289832592010498,-0.3761877417564392,0.5060884180867203,0.5684401643313257,0.48333889351371206,-0.4325896890167268,-4.3275,-10.3125,27.1887,-4.77,-9.3525,0.8349,-3.6525,7.0425,95.3722,-2.415,5.9025,21.1387,-3.0375,-20.655,6.655,-2.43,-27.3975,70.1437,-2.655,-17.175,-228.2907,-4.1325,-22.545,-3.0492,-4.725,-7.9125,-2.9645,7.935,2.655,-5.1062,0.015,-3.135,27.4428,-36.9825,-1.9125,27.6606,-2.43,-5.19,-4.5738,-2.6925,-2.07,-5.0336,6.9975,-6.54,-3.146,-4.89,-22.2975,-5.9895,-0.48,-1.62,28.314,3.405,0.21,7.1753,-6.8925,4.8675,-172.0983,11.7075,2.3475,38.0545,4.8675,8.295,18.9244,20.4525,-3.0075,-18.3557,11.775,0.5325,-9.2202,-5.3325,-20.235,-4.9489
1754499712.4208155,-0.002741768956184387,0.12112724781036377,-0.27051734924316406,0.49611601694643165,0.5658025821426819,0.48567237325028295,-0.4448131026578813,0.2833566963672638,0.128928542137146,-0.3762887120246887,0.506031528566495,0.5684596048884206,0.4831024178210542,-0.43289476574821356,30.6225,57.4875,11.9427,-4.77,-18.3525,-7.1511,-3.6525,16.6425,91.5002,-2.415,-3.6975,-8.8693,2.8125,-17.655,-5.445,-2.13,-22.2975,37.2317,-2.955,-18.675,50.4933,-4.1325,53.355,0.8228,5.475,51.1875,-3.4485,-1.665,-1.845,-3.1702,26.115,-0.735,-2.5652,-36.9825,-3.1125,-3.3154,-2.43,1.71,-4.8158,1.8075,54.63,-5.0336,6.3975,-16.14,-3.146,-4.44,-22.2975,-6.4735,-1.83,7.83,19.602,2.805,-3.69,6.2073,2.8575,0.6675,13.7577,-5.0925,-1.5525,40.9585,0.3675,3.495,-32.6216,-5.3475,-3.1575,-17.8717,-12.375,10.2825,16.4318,13.8675,-29.985,-5.1909
1754499712.7826042,-0.0027273893356323242,0.12117314338684082,-0.27049708366394043,0.4957905505140883,0.5658384255698958,0.485774285294028,-0.4450190440615111,0.28338783979415894,0.1294194459915161,-0.37629449367523193,0.5060359815006064,0.5685340060562626,0.4831819355955636,-0.4327030377323816,-5.5275,-10.3125,-6.6913,-4.77,57.8475,-3.2791,-3.6525,16.6425,64.3962,7.785,1.1025,-9.8373,-3.1875,-18.855,2.299,2.37,51.5025,73.7737,-2.955,-18.975,50.9773,-1.7325,-17.745,8.5668,5.175,-13.4625,-3.4485,-1.665,-2.145,0.7018,-1.635,-2.985,-3.0492,-22.2825,7.0875,-2.3474,-2.43,6.51,-4.8158,-3.2925,-22.47,18.1984,-2.3025,-15.54,-3.146,-2.64,-3.0975,11.9185,-2.73,7.83,11.858,2.805,-3.99,8.1433,22.2075,-4.4325,-7.5383,11.7075,-1.2525,43.8625,14.4675,3.795,13.8424,-8.3475,-3.1575,43.5963,16.425,1.7325,8.6878,-5.3325,46.815,-5.1909
1754499713.1466677,-0.0027088820934295654,0.12117958068847656,-0.2705400586128235,0.49591236802996586,0.565933369681233,0.48567649069563235,-0.4448693144017756,0.2834389805793762,0.12881970405578613,-0.37627750635147095,0.5061113331177636,0.5683138518256242,0.48351428504592325,-0.4325328912147894,-4.9275,-7.3125,2.0207,0.03,-18.3525,18.0169,5.9475,-2.5575,95.3722,-2.415,6.5025,-1.8513,-3.1875,-20.655,2.299,3.57,-8.4975,-212.7543,1.845,-18.975,54.3653,-3.8325,-15.345,-2.5652,-4.575,-15.8625,-3.4485,17.535,0.255,-7.0422,-2.985,-1.785,27.4428,-36.9825,-3.1125,-1.3794,-2.43,-7.89,-4.5738,-0.8925,-19.32,-4.0656,1.5975,-16.14,-1.21,-2.34,-22.2975,10.9505,-2.73,-1.32,15.972,-15.045,5.61,7.6593,-6.8925,4.8675,17.6297,-7.4925,-2.4525,-153.6095,-4.5825,3.495,16.7464,11.6025,-1.9575,-17.3877,6.825,1.4325,-6.8002,-5.3325,-29.985,-1.3189
1754499713.5077748,-0.0027038604021072388,0.12112867832183838,-0.2705155611038208,0.49580788025254935,0.5659359500388265,0.48566255279145476,-0.44499771557986006,0.283377081155777,0.1290677785873413,-0.376421183347702,0.5058451769283375,0.5685511769451567,0.4832589549233814,-0.43281761804973257,-4.6275,-7.9125,-261.2753,-4.77,-18.3525,16.8069,8.3475,19.0425,64.3962,7.485,-3.5475,-9.8373,16.3125,-21.255,-28.677,-2.43,-27.6975,35.0537,-0.555,-16.575,-228.2907,-4.1325,-24.945,16.7948,8.475,-18.4125,-2.7225,0.735,-0.945,-5.1062,-2.385,-0.735,9.0508,-36.9825,-2.9625,0.5566,-1.68,64.11,-2.8798,6.3075,-17.67,-5.0336,-0.2025,-1.74,-0.726,-5.04,-21.0975,-4.5375,30.72,-0.72,44.77,-16.395,1.11,17.8233,-5.6925,-4.7325,14.2417,-7.4925,0.5475,33.2145,-4.7325,3.645,13.8424,15.6525,-3.1575,7.0543,-12.375,1.4325,8.6878,23.4675,-24.735,-5.1909
1754499713.8699105,-0.002679184079170227,0.1211085319519043,-0.2704373002052307,0.4962401305899713,0.5658874824415707,0.48563060618701603,-0.44461223172029884,0.2833227217197418,0.12902235984802246,-0.3762612044811249,0.5058929039179239,0.5684679951087386,0.48324001099124214,-0.43289221994368476,28.6725,-3.7125,17.9927,-4.77,-18.9525,0.5929,5.9475,9.4425,68.2682,-2.415,5.9025,23.0747,-0.7875,55.545,-24.805,0.27,-22.8975,51.5097,-0.405,-18.975,35.2473,7.8675,52.455,-4.9852,-4.725,-18.1125,-3.2065,4.335,-2.145,10.6238,-2.985,-3.135,-3.5332,145.5675,-3.1125,25.7246,-2.43,6.51,11.1562,-3.2925,-22.47,10.4544,1.5975,-15.54,12.342,-4.89,-10.2975,11.9185,-2.43,-1.92,19.602,-9.195,5.61,6.2073,-6.8925,4.8675,13.7577,11.7075,-1.5525,-21.9615,-4.7325,3.495,-48.1096,-3.5475,1.6425,43.5963,7.425,0.5325,28.0478,-5.3325,-28.635,10.2971
1754499714.2325578,-0.0026921629905700684,0.12109923362731934,-0.270480751991272,0.4960599502641095,0.5657685290715644,0.48566375783157545,-0.44492830507296455,0.28333374857902527,0.1290806531906128,-0.37624505162239075,0.5059153533215248,0.5684992183318882,0.48330669925835107,-0.4327505196062558,-4.3275,57.1875,33.9647,-4.62,-18.9525,-13.9271,-1.2525,74.2425,64.3962,2.385,-3.6975,5.6507,-2.8875,-16.155,-25.773,-2.43,-27.6975,50.5417,-2.955,59.025,-228.2907,0.6675,-17.145,-6.9212,-4.725,-18.4125,-3.4485,-1.665,7.455,-7.0422,-1.785,-3.135,11.9548,-36.6825,-2.2125,12.1726,-2.43,-7.89,-2.8798,-2.8425,-10.47,-3.0976,-2.3025,-16.14,-3.146,28.56,54.5025,-6.4735,-3.03,0.48,12.826,2.805,-3.54,7.1753,-6.2925,-4.1325,-164.3543,-5.0925,-0.8025,32.2465,-2.3325,4.095,16.9884,21.0525,-3.1575,-18.3557,16.425,0.8325,8.6878,-5.3325,-19.785,-5.1909
1754499714.5942397,-0.002750873565673828,0.12113785743713379,-0.2705423831939697,0.49619987707846647,0.5659091395824071,0.4856231726108944,-0.4446377779320378,0.28282395005226135,0.12850511074066162,-0.37647953629493713,0.5061019487076097,0.5688490788367596,0.48345231690887563,-0.4319090756653047,-3.1275,-16.9125,2.9887,-2.97,-18.3525,27.6969,5.9475,19.1925,79.8842,-2.415,-3.6975,22.1067,22.3125,-21.105,-28.435,-2.43,-25.2975,67.2397,-2.955,-4.575,50.4933,0.6675,49.455,-6.9212,-2.325,-18.4125,-1.2705,3.585,7.455,-5.1062,-0.585,-3.135,-3.5332,-36.6825,-2.2125,-1.3794,11.97,-0.69,-4.3318,1.5075,-22.47,-5.0336,-2.7525,60.66,-3.146,-5.04,54.8025,-6.4735,-3.03,-1.92,12.1,-16.395,-1.59,18.0653,-1.6425,-4.7325,-32.7063,2.1075,-2.4525,32.7305,-4.7325,3.645,14.3264,20.4525,-0.6075,31.0123,-9.975,5.3325,8.6878,-2.9325,-28.635,-5.1909
1754499714.9567819,-0.002692773938179016,0.12115514278411865,-0.2704751491546631,0.4965215579935145,0.5652159087427676,0.4860336219862731,-0.4447119167525755,0.27946677803993225,0.14017963409423828,-0.3733874559402466,0.5411660681544211,0.5906161531648889,0.47109547866249585,-0.3692978619526361,-3.1275,-10.1625,-5.7233,2.43,-13.8525,-14.8951,-3.6525,7.0425,64.3962,-1.215,9.5025,23.0747,-0.7875,55.545,-9.317,-2.43,-27.6975,74.2577,-2.955,-17.775,20.0013,-4.1325,-14.745,-2.5652,-4.725,-7.6125,-1.0285,-1.665,-2.145,10.8658,-1.485,-0.735,-3.5332,-35.7825,0.4875,-3.3154,-2.43,-7.74,-4.8158,-3.2925,54.33,-5.0336,-2.9025,-10.14,-3.146,1.71,-12.6975,16.7585,-3.03,-1.92,13.31,-16.395,0.81,6.2073,2.7075,-54.3825,13.7577,-0.2925,-2.4525,32.4885,0.0675,4.695,-17.1336,-8.3475,-3.1575,-17.3877,11.625,6.5325,-14.5442,-5.0325,-25.185,-5.1909
1754499715.3196926,-0.002559170126914978,0.12095367908477783,-0.27055859565734863,0.4960576525751092,0.5655231612690963,0.4859268819724736,-0.4449555808460713,-0.05444222688674927,1.476867914199829,0.21592867374420166,0.7890854114567617,0.5755135774572256,0.2027165594337901,0.07095322571231377,-5.0775,90.4875,-260.3074,-4.77,-8.1525,16.0809,-3.6525,74.8425,79.8842,-2.415,7.1025,-2.0933,8.8125,-15.255,-5.445,2.67,-22.8975,66.9977,-2.955,57.825,58.2373,-2.9325,-24.945,24.0548,-3.825,-16.9125,27.5275,0.735,9.855,-4.8642,30.615,-1.935,-3.2912,119.0175,-3.1125,4.4286,8.97,-5.49,-2.8798,-3.2925,54.63,-3.0976,9.3975,60.66,58.806,-4.74,-22.2975,-6.4735,16.77,-1.92,-102.366,-5.595,0.81,-177.2287,-6.7425,-235.1325,-172.0983,-7.4925,-2.4525,-153.6095,-4.7325,3.495,-31.8956,-6.8475,-3.1575,-6.7397,-11.175,0.5325,-176.2002,-4.7325,51.615,-1.3189
