timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_w,tracker_rot_x,tracker_rot_y,tracker_rot_z,patch_on,area_num,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1754495569.5118463,-0.053715258836746216,0.2635253071784973,0.15587031841278076,0.7744986306348312,0.6281958565438428,0.053878050149957744,-0.05117605101390883,0.0,0.0,-1.23,15.2175,-85.8495,4.7775,3.7125,-0.9438,15.2175,15.0075,-38.2844,-3.96,26.565,-3.0008,-6.4425,-4.1025,-55.9262,-0.6375,-42.03,-20.1949,5.5425,-1.2,235.2966,-4.0725,1.77,-5.2393,2.4225,-1.98,2.1296,10.53,2.25,-18.4283,-6.6525,7.32,8.1312,-6.135,-4.9575,-7.0422,5.865,-0.5925,-5.8806,-3.1875,-2.6625,-0.7986,4.4925,-0.57,6.3525,11.4525,4.5825,-0.1694,-9.96,3.9975,-24.5993,-10.155,-3.3225,-29.9838,-2.5275,4.245,-30.3105,-5.4825,2.0025,180.9192,7.785,46.35,-14.9314,32.4375,0.9825,-37.4737,3.5925,-37.1625,7.6714,13.4625,14.76,-3.8841
1754495569.8747687,-0.04872477054595947,0.2635902762413025,0.1558612585067749,0.7730942431640717,0.6299691576449035,0.05113853841270037,-0.05337581090379355,0.0,0.0,-1.53,5.6175,-86.8175,-4.8225,-7.0875,2.4442,3.2175,18.6075,-41.1884,-3.81,7.215,-3.9688,-6.7425,-4.4025,-63.6702,6.5625,-40.23,-29.8749,-1.6575,17.25,-43.2454,-3.0225,5.22,-5.2393,-1.7775,-1.38,-5.6144,6.03,5.25,47.3957,-6.6525,-2.28,52.4172,-6.135,-4.9575,-16.7222,-3.735,4.2075,-8.7846,-3.3375,-2.6625,-8.0586,-3.9075,9.18,-11.0715,15.0525,8.1825,-0.6534,22.44,6.6975,37.3527,-10.005,-3.6225,154.9042,6.0225,17.445,-23.2925,-5.4825,-2.7975,165.4312,17.085,43.95,-12.9954,-3.8625,10.4325,146.2043,-3.0075,-32.2125,-1.7666,13.6125,-4.44,2.8919
1754495570.2367337,-0.019961804151535034,0.2715863585472107,0.1421750783920288,0.8628689527920006,0.5035430326519053,-0.043468185570035275,-0.0034776398000340475,0.0,0.0,-1.83,-20.7825,-88.7535,9.7275,-6.7875,27.6122,-6.0825,9.0075,-42.1564,-3.96,-2.385,-3.9688,2.8575,15.9975,-63.6702,8.9625,-40.83,-30.8429,-4.0575,-4.35,-41.5514,-4.2225,0.42,2.7467,7.2225,-0.78,25.3616,7.53,62.25,-9.4743,-5.4525,-2.28,-9.5348,-6.135,-4.3575,-16.7222,-3.735,-0.8925,-9.7526,-3.0375,7.5375,7.9134,-4.5075,-0.12,-11.0715,-3.9975,8.1825,5.1546,-11.16,13.5975,-24.3573,-10.155,-3.6225,-27.0798,1.0725,-1.755,-31.2785,13.7175,-2.6475,-10.7448,12.285,53.55,-6.2194,-7.1625,10.4325,-42.5557,-3.0075,-37.1625,-2.0086,-5.7375,-4.44,-6.7881
1754495570.5988567,0.03597643971443176,0.2596483826637268,0.1214781403541565,0.7911738814295259,0.6058904425645212,0.030575366589490928,-0.07749721523071874,0.0,0.0,1.47,15.2175,-90.4475,-4.8225,-5.8875,-5.2998,12.8175,9.0075,-38.2844,-3.96,12.015,-2.0328,-6.7425,24.3975,-62.7022,-3.0375,-32.73,-31.3269,-4.0575,-3.6,-42.2774,4.7775,0.42,-5.2393,2.5725,7.62,-5.6144,-4.47,62.25,-14.5563,-6.3525,2.52,0.6292,3.465,21.4425,-12.1242,-3.735,18.9075,-9.7526,-3.3375,-2.6625,-4.1866,4.4925,0.48,-11.0715,-2.9475,8.4825,10.9626,17.79,3.9975,-24.5993,-7.755,-2.4225,170.3922,-3.7275,-1.755,-31.2785,-5.4825,-0.3975,-12.6808,-11.415,6.45,-14.9314,-7.4625,0.8325,-33.8437,-3.0075,194.4375,5.7354,4.0125,-4.29,-5.5781
1754495570.9608295,0.06747883558273315,0.19102084636688232,0.1060146689414978,0.7360111219488852,0.6608081654585972,0.01812115280665075,-0.14591715278666312,1.0,0.0,4.17,-23.1825,204.5505,-4.6725,-7.0875,17.9322,-6.3825,9.0075,-26.6684,2.04,-7.185,-3.4848,-6.7425,32.9475,230.6018,-3.0375,-41.73,-31.8109,-1.6575,-3.75,250.7846,-3.4725,1.62,-5.2393,-2.3775,74.82,-5.6144,0.63,72.15,-18.4283,-4.2525,-2.28,-9.5348,-5.535,-2.2575,31.6778,-3.585,-77.0925,-9.7526,-3.3375,12.0375,-6.6066,-2.7075,0.63,-11.0715,0.6525,3.3825,26.4506,-11.16,4.1475,14.1207,-9.555,-3.6225,154.9042,5.8725,3.195,-31.2785,-4.2825,-2.7975,173.1752,26.685,43.95,-14.9314,-6.8625,0.8325,143.3003,-2.2575,-37.0125,-2.0086,-5.7375,1.86,-6.7881
1754495571.3240056,0.0706477165222168,0.18601179122924805,0.10735177993774414,0.7055512830902051,0.7012754177227242,0.08284591263307699,-0.05955456673518668,1.0,0.0,11.07,-20.4825,-76.6535,-4.6725,4.9125,-3.1218,-6.3825,10.9575,-42.1564,15.84,-11.535,27.9752,-5.9925,-4.1025,-63.1862,7.7625,72.87,4.9731,-4.0575,1.95,235.2966,-0.0225,0.42,41.2247,16.8225,-1.98,-3.6784,-4.02,62.4,-18.4283,-6.5025,7.32,23.3772,10.815,71.8425,-16.7222,-1.335,-57.8925,-9.7526,-3.3375,76.5375,-8.5426,-5.1075,-0.12,-9.1355,0.6525,3.3825,-4.2834,27.24,3.9975,21.8647,31.545,1.1775,-30.4678,15.4725,-1.455,154.5775,-5.4825,7.1025,-20.4248,27.285,-185.1,47.0206,-7.1625,0.8325,-42.5557,-3.0075,-35.9625,-2.0086,-4.5375,-3.84,-6.7881
1754495571.6868017,0.0707833468914032,0.1868346929550171,0.10770213603973389,0.7129028495628802,0.6928100927663657,0.0773638242180082,-0.07614802919558612,1.0,0.0,-0.63,-23.1825,204.0665,20.3775,-7.0875,273.4842,-4.7325,9.0075,205.6516,5.64,26.715,-3.9688,5.5575,4.2975,-63.6702,-1.8375,34.62,-30.3589,15.7425,34.65,-35.7434,-4.8225,2.82,27.6727,-1.6275,-1.83,2.3716,11.13,62.25,20.5337,-6.5025,74.52,5.9532,-6.135,-4.9575,-5.1062,6.465,-70.4925,-5.8806,-3.3375,-2.6625,26.3054,-0.3075,-0.72,20.8725,-4.1475,5.7825,27.1766,-11.16,9.0975,10.4907,-10.155,18.1275,124.4122,-1.3275,-0.855,-27.4065,-5.3325,-2.7975,166.8832,-2.115,-186.45,31.5326,-7.4625,0.9825,-42.5557,-3.0075,-37.1625,-1.7666,-5.7375,-4.44,-5.8201
1754495572.0489674,0.07075119018554688,0.18701326847076416,0.10753297805786133,0.7129920061084949,0.6927552897870827,0.07750433941352061,-0.07566752717877256,1.0,1.0,2.97,15.3675,-90.6895,-4.8225,-7.0875,-5.0578,-6.3825,-64.1925,-42.1564,-3.96,-7.185,27.2492,2.8575,-5.6025,-59.7982,6.5625,48.87,5.2151,5.8425,-4.2,237.2326,-4.6725,0.42,-5.2393,-1.1775,5.37,-4.6464,-4.47,71.85,-18.4283,-6.6525,74.52,-9.5348,-6.135,-3.7575,16.1898,-3.735,-77.6925,-9.5106,-3.3375,74.1375,-8.5426,-4.8075,-0.72,-8.6515,-4.1475,13.5825,-3.5574,27.54,6.3975,43.1607,-10.155,-3.4725,155.3882,-3.7275,-1.755,-25.4705,-5.4825,-2.7975,-19.9408,-10.215,-186.45,47.0206,33.3375,77.6325,-42.0717,-0.6075,-37.1625,184.8154,-5.7375,-4.44,-6.7881
1754495572.4115682,0.07086926698684692,0.18720722198486328,0.10752826929092407,0.7125870786725841,0.6931362337100442,0.07758234585021048,-0.07591293934596034,1.0,1.0,-11.43,-22.8825,-84.1555,7.6275,-5.2875,242.5082,-6.3825,11.4075,-38.2844,3.24,-11.985,1.3552,-6.7425,1.7475,-31.7262,-3.0375,44.37,-30.8429,6.7425,-4.35,251.0266,14.8275,8.82,41.7087,2.4225,10.02,-5.6144,-4.47,-14.55,28.0357,-0.6525,75.12,7.8892,-6.135,5.8425,-16.7222,-1.335,-67.7925,-7.8166,-2.7375,74.1375,-2.7346,4.4925,-0.57,20.8725,5.4525,3.3825,41.9386,27.39,3.9975,-24.5993,32.145,-3.6225,154.9042,-3.7275,-1.755,139.0895,-5.4825,-2.7975,-20.4248,26.685,-186.45,-11.0594,30.9375,0.8325,-42.5557,-3.0075,-37.0125,5.7354,-2.1375,-4.29,-4.8521
1754495572.775031,0.07071506977081299,0.1872035264968872,0.10732817649841309,0.7127046685481531,0.6930173981590687,0.07758187066899441,-0.07589443767156515,1.0,1.0,0.57,15.2175,191.9665,-4.8225,-7.0875,304.9442,-0.9825,9.3075,207.5876,-3.96,-2.085,-3.9688,-6.7425,32.7975,-63.6702,6.5625,47.22,-31.8109,-4.0575,-4.35,-43.4874,14.3775,0.42,3.4727,-1.1775,-1.98,-5.6144,15.93,-14.55,24.1637,12.5475,74.52,2.0812,5.865,-4.3575,-16.7222,-1.335,-77.6925,23.1594,1.4625,74.1375,-8.5426,-5.1075,-0.72,37.3285,-4.1475,3.3825,-4.5254,8.34,9.0975,40.2567,-6.555,1.4775,-30.9518,6.4725,-1.755,154.5775,13.7175,-2.4975,-20.4248,-11.715,-183.9,-12.0274,17.7375,6.2325,-42.5557,-1.8075,193.5375,-1.5246,-5.7375,-4.44,8.6999
