timestamp,tracker_1_pos_x,tracker_1_pos_y,tracker_1_pos_z,tracker_1_rot_w,tracker_1_rot_x,tracker_1_rot_y,tracker_1_rot_z,tracker_2_pos_x,tracker_2_pos_y,tracker_2_pos_z,tracker_2_rot_w,tracker_2_rot_x,tracker_2_rot_y,tracker_2_rot_z,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1754499596.3998826,0.03697487711906433,0.2023487687110901,0.072074294090271,0.5928706031753931,0.5757290145754809,0.3933379641726881,-0.4028967317548253,0.01233065128326416,0.19872671365737915,-0.1021193265914917,0.6674101421815315,0.6676366494387389,0.23303336652456266,-0.23349614691766987,-5.325,24.15,-238.128,11.0325,-1.0575,10.6601,-2.9625,-11.22,-8.0949,-3.3225,-17.55,28.072,-6.12,1.1475,-236.1678,-3.3375,28.005,-1.2584,-8.715,-11.9925,46.7302,-15.1575,-0.9975,21.901,-6.885,-1.9875,-8.833,-2.2275,-2.505,14.3022,1.8075,-2.385,-2.5652,2.985,-2.1675,15.6332,-9.4275,7.605,4.1745,-5.3325,-3.8775,-22.3124,1.515,-3.0525,18.9123,23.34,-0.27,-16.4439,-0.9975,-0.0525,18.6461,-4.8,17.76,15.6211,-1.77,5.205,-1.5851,-8.61,-3.8175,-9.9099,-0.585,2.4375,16.8795,0.855,-1.2375,67.5785,-2.34,-3.645,43.7778,-13.0275,-1.8075,-19.9287
1754499596.7613993,0.03695198893547058,0.2024747133255005,0.07203590869903564,0.5928839622914381,0.5756526933889026,0.39356585513035824,-0.4027635921465509,0.012275725603103638,0.19892722368240356,-0.10219556093215942,0.6673472789931714,0.6677085161215882,0.23311077833582203,-0.23339307018998318,-4.725,13.8,41.866,1.4325,1.3425,15.0161,2.1375,2.88,36.4331,-9.3225,-18.15,-2.904,-5.22,-10.7025,31.0002,-3.9375,-10.095,8.9056,-9.315,-51.5925,-232.0538,23.5425,-1.4475,-13.431,-6.135,0.2625,22.143,-4.3275,1.995,-21.9978,-13.6425,-2.385,11.7128,-9.315,7.4325,15.6332,5.5725,-1.995,5.8685,-14.9325,-3.5775,-14.5684,-4.185,-3.0525,-15.9357,-15.21,0.63,-16.4439,-0.2475,-1.5525,-35.5619,-4.95,-0.69,-8.5789,-0.27,-4.395,-147.7531,-8.61,-3.3675,52.0421,0.465,-2.0625,17.1215,0.855,-3.9375,-103.9995,0.21,15.405,-133.3662,-3.7275,7.1925,-17.9927
1754499597.1243095,0.03691720962524414,0.2024857997894287,0.07206237316131592,0.5928901055969339,0.5756700019336289,0.3934799987813362,-0.40281371969017304,0.012292653322219849,0.1989116072654724,-0.10207784175872803,0.6675840300372291,0.6675268092247278,0.233056422061095,-0.23329006284510487,-15.525,-14.7,44.528,-8.7675,18.1425,6.7881,7.5375,13.68,21.1871,-2.1225,20.25,-4.356,-4.32,-10.5525,42.6162,-3.7875,-10.395,21.9736,10.185,-50.0925,44.7942,-10.0575,-1.4475,6.897,-6.435,0.2625,22.385,-4.4775,7.095,-22.9658,-13.7925,-2.385,12.9228,0.285,-2.1675,31.1212,9.9225,0.405,30.0685,-14.9325,5.7225,8.6636,-2.085,-2.4525,-15.9357,-0.81,-2.67,-15.9599,1.7025,-1.8525,-8.2159,-4.95,-1.29,45.6291,-2.82,5.205,-148.2371,0.99,2.0325,52.5261,4.065,-2.3625,32.1255,-3.945,5.6625,-103.9995,-3.54,-1.395,51.5218,-3.7275,11.9925,11.0473
1754499597.487186,0.03690427541732788,0.20235800743103027,0.07193648815155029,0.592826113489255,0.575696926877648,0.39354979094229325,-0.4028012487721006,0.01224413514137268,0.19871753454208374,-0.10203224420547485,0.6677037755975838,0.6674327153449747,0.23312575659537904,-0.23314728430722576,-8.325,23.4,45.738,-8.7675,-0.9075,10.6601,-0.8625,6.48,36.4331,9.8775,-18.15,-4.356,-6.12,27.8475,43.1002,-3.7875,-4.995,-1.2584,-7.965,25.3575,44.7942,-14.8575,-1.2975,-13.431,-6.885,-2.1375,-8.833,-3.2775,7.845,-22.9658,-5.0925,40.815,12.6808,-9.315,12.2325,-15.3428,-7.0275,-1.995,-5.7475,-14.9325,-3.8775,-22.3124,7.515,-0.6525,-15.9357,-15.21,2.43,-13.5399,-0.9975,-2.1525,20.5821,-4.95,-1.89,14.6531,3.33,-1.995,6.1589,-8.61,-3.9675,-9.9099,4.065,-2.0625,-138.0005,-3.945,-3.4875,-103.7575,4.86,-3.795,30.2258,-13.3275,-2.4075,-19.4447
1754499597.8489335,0.03695559501647949,0.20233702659606934,0.07201266288757324,0.592738442747016,0.575743663853997,0.3935215735599654,-0.4028909992145887,0.01229637861251831,0.19873970746994019,-0.1020781397819519,0.6677871132848354,0.6673316597512671,0.23315840057632187,-0.23316514753923795,-10.425,-15.0,55.176,-8.6175,0.2925,-23.2199,-0.7125,25.68,20.9451,-9.3225,-18.0,-0.484,4.68,-10.4025,58.1042,-3.9375,28.005,-1.2584,-1.815,-19.7925,25.4342,-12.7575,-0.2475,-12.463,-4.485,8.0625,-8.833,-4.1775,-2.655,23.4982,-13.7925,-2.385,-3.7752,5.685,-2.0175,-15.3428,0.1725,0.405,1.9965,5.0175,-2.3775,10.1156,5.265,-3.0525,-5.2877,-15.21,-2.67,-15.4759,-0.9975,-2.7525,3.1581,-3.75,-1.74,16.5891,-2.82,1.305,6.1589,-8.16,-3.3675,53.9781,-0.735,-1.7625,-138.2425,-0.945,-3.9375,-100.3695,-4.74,-3.795,-134.0922,-0.2775,-1.2075,-18.9607
1754499598.2114093,0.036926478147506714,0.2024439573287964,0.07207483053207397,0.5927968863086659,0.5758098091362175,0.39337367618806596,-0.40285492246936133,0.01224374771118164,0.1987518072128296,-0.10204267501831055,0.6677143215830934,0.6673873374829327,0.23317604654690832,-0.2331966550341512,-13.425,-14.4,30.008,-7.5675,102.1425,-20.3159,0.3375,6.48,20.9451,-8.7225,20.4,-2.42,-5.82,28.7475,50.8442,3.2625,-5.595,10.3576,-4.215,-51.5925,13.8182,-15.1575,12.9525,2.299,-6.885,-0.9375,-8.833,-4.4775,-2.805,11.8822,-13.4925,-1.185,6.6308,0.585,2.6325,31.1212,0.1725,14.805,30.0685,23.4675,-2.6775,-22.3124,36.315,-1.8525,-15.9357,-5.61,16.68,14.5321,10.4025,-2.4525,-27.8179,-4.8,-1.29,46.3551,-2.52,15.405,7.3689,29.94,-3.9675,1.9481,-19.935,-2.3625,25.1075,-3.795,-3.9375,-103.5155,9.66,-3.195,-134.3342,-10.6275,2.3925,1.3673
1754499598.5742667,0.03696739673614502,0.2024310827255249,0.07206445932388306,0.5928308590315703,0.5757615168058813,0.39340750759639237,-0.4028409395096911,0.012257218360900879,0.19905632734298706,-0.1019676923751831,0.6678355469592447,0.6673220642677016,0.23312474740991443,-0.23308756522530386,24.075,24.6,47.432,-3.6675,3.7425,-24.1879,-3.2625,-12.72,20.9451,-4.5225,20.25,-0.242,-4.92,-10.5525,51.3282,6.2625,-9.795,-0.2904,-9.015,-51.2925,53.5062,-15.1575,-1.4475,17.545,-5.685,3.8625,-8.591,-4.4775,-2.805,-12.8018,-3.8925,-0.585,12.1968,0.285,-2.1675,-14.3748,9.7725,-1.995,-1.8755,-10.1325,5.7225,-21.8284,9.915,-2.7525,-15.9357,-14.91,-2.67,17.9201,8.6025,-2.7525,-12.3299,-4.95,-49.89,46.5971,-1.32,14.805,37.1349,-7.86,-3.6675,52.0421,-0.735,-2.3625,-128.5625,10.755,-3.6375,-103.7575,1.26,-3.345,29.2578,-10.9275,9.7425,12.9833
1754499598.9363468,0.036860257387161255,0.2024223804473877,0.07196319103240967,0.5930209801687416,0.5755994809836145,0.3933828588750407,-0.40281675918087934,0.012251436710357666,0.1990516185760498,-0.1021270751953125,0.6674487699872386,0.6676143084115674,0.23315796062483413,-0.23332518314021602,-14.925,-15.0,44.528,-3.3675,1.3425,7.0301,16.5375,-12.72,-5.9169,-9.3225,-8.55,-4.356,13.08,22.7475,11.6402,-3.7875,-9.195,10.3576,-4.365,25.2075,46.7302,23.2425,-0.2475,-9.317,7.665,2.6625,6.897,-4.4775,-2.805,-22.9658,-13.7925,-2.385,-1.8392,-9.315,-2.0175,-15.3428,-8.2275,0.405,-3.8115,-14.9325,-3.8775,13.5036,-4.485,-2.9025,-15.6937,-15.21,-0.12,14.5321,-0.9975,21.2475,1.4641,-4.35,12.51,45.6291,-0.27,0.555,25.5189,-8.61,-3.9675,6.0621,-0.735,-2.2125,51.4855,5.655,-3.9375,-103.9995,1.26,-3.795,-134.3342,-13.3275,-1.2075,-19.9287
1754499599.299478,0.03685835003852844,0.20242834091186523,0.07201075553894043,0.5929894095130828,0.5756263062122862,0.3933561090707105,-0.40285094777612507,0.012313008308410645,0.19880348443984985,-0.10203516483306885,0.6674888472118534,0.6675977533713714,0.23313280666746328,-0.23328308719936955,-15.525,19.2,56.144,-6.3675,-1.0575,7.0301,-3.1125,-12.72,-1.3189,-9.3225,-18.0,7.26,32.28,-10.8525,29.0642,8.2125,-7.995,-1.2584,9.885,25.2075,48.6662,-11.5575,-1.4475,18.029,-6.885,-2.1375,-8.833,-4.3275,-2.805,-22.9658,-13.7925,7.365,0.0968,0.435,-2.1675,-15.3428,-7.0275,-1.995,32.9725,23.6175,-3.8775,8.6636,-3.285,6.6975,-15.9357,-10.26,-2.22,16.2261,-0.9975,16.4475,-12.3299,1.05,0.51,-16.3229,4.38,-4.395,15.8389,-8.31,-3.6675,52.5261,-0.135,-2.3625,33.0935,-3.945,3.2625,81.6145,5.46,-3.345,28.2898,-13.1775,0.1425,-19.9287
1754499599.6611621,0.03692618012428284,0.2023867964744568,0.07200884819030762,0.5931102037236093,0.5754516901346436,0.3934783566087391,-0.40280324718185845,0.012326180934906006,0.19886565208435059,-0.10204190015792847,0.6673597830583943,0.6676288636404306,0.2331734257564661,-0.2335225904475594,-0.225,-8.85,43.56,10.4325,3.7425,-8.6999,1.5375,6.63,-257.8389,3.8775,-7.35,0.484,-6.12,27.8475,42.8582,-3.9375,-7.995,10.3576,-9.015,-13.1925,15.7542,-10.3575,4.5525,-13.431,13.515,7.7625,-4.477,7.5225,-2.205,8.0102,-13.7925,4.815,3.9688,-6.915,2.9325,15.6332,-9.4275,-1.845,-5.7475,-14.3325,-1.4775,8.6636,-4.485,-3.0525,-15.9357,-5.61,-2.67,-16.2019,-0.8475,-0.3525,18.6461,-2.55,-1.89,0.1331,-2.82,-4.395,7.1269,-8.61,-3.9675,52.0421,-39.135,-1.1625,16.8795,-3.345,-3.9375,-100.3695,-4.74,1.005,36.0338,-3.7275,-2.4075,11.0473
