timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_roll,tracker_rot_pitch,tracker_rot_yaw,tracker_rot_quat_x,tracker_rot_quat_y,tracker_rot_quat_z,tracker_rot_quat_w,sensor_x,sensor_y,sensor_z
1754658245.0499887,0.6500494480133057,0.6254342794418335,-0.19178153574466705,96.96391856550785,52.88086977292867,20.63543295445156,0.6067224832136767,0.41045291279732227,-0.22169825006186591,0.6436349619001683,-102.2,41.0,-24.87
1754658245.256019,0.6698613166809082,0.6168677806854248,-0.1937331110239029,95.90110806663897,51.38937204877404,19.544642133328956,0.610140739975564,0.39975829719814193,-0.21484586110388276,0.6494325979355423,-102.8,41.6,-24.55
1754658245.4761064,0.678986668586731,0.619498610496521,-0.19546808302402496,92.34765826859926,50.00836755027592,17.769823005522017,0.6007752613472245,0.3901690637288127,-0.20435533995826113,0.6671401302419705,-103.6,42.4,-24.55
1754658245.6784387,0.6718953847885132,0.6263612508773804,-0.19282974302768707,86.13886287973563,49.96155588543039,16.63192256070591,0.5678708551396527,0.394794990031191,-0.1895862288244959,0.6969336619726014,-102.2,42.2,-24.55
1754658245.8845365,0.2579472064971924,0.9648977518081665,-0.0766831785440445,88.39764669150601,52.59537722763939,18.67833874361861,0.5651705728498825,0.4148364077573118,-0.20046745533968316,0.684328588889049,-101.2,42.2,-19.38
1754658246.1068332,0.10261595249176025,1.0048102140426636,-0.03378702700138092,123.80895211923338,54.40388013081777,28.21673193345988,0.7084545468438267,0.4000382224414115,-0.2889986385894446,0.5045206331451473,-107.0,30.0,3.88
1754658246.31322,0.006264448165893555,1.0988191366195679,-0.004761949181556702,141.28951174154673,27.298011249336636,44.970398563649894,0.8172279630530216,0.42290150806069615,-0.0825394429843197,0.38272694888477865,-145.8,19.2,-30.69
1754658246.5208168,0.02268385887145996,1.07913076877594,0.003555968403816223,115.36460101734201,45.275237149664825,45.199106380733454,0.6410193581581591,0.4897129873810051,-0.11068419253841198,0.5805378450469901,-162.0,35.4,46.51
1754658246.742011,0.13293862342834473,0.9118075370788574,0.02770073711872101,-63.07205721056656,87.64567590469125,-145.6267388653415,0.45230956121528343,0.534896392851438,-0.4804565714198086,0.527696090011199,-166.4,-23.0,72.35
1754658246.9478812,0.06994861364364624,0.9749492406845093,-0.025782540440559387,-32.49719784645949,77.19742712300646,-127.92724027429443,-0.4421728076785117,-0.4593863030791977,0.5975501630163103,-0.4861904249729835,-171.2,-85.0,58.46
