timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_roll,tracker_rot_pitch,tracker_rot_yaw,tracker_rot_quat_x,tracker_rot_quat_y,tracker_rot_quat_z,tracker_rot_quat_w,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1754643979.1841238,0.15517187118530273,1.0278795957565308,0.07751862704753876,-91.94356975129509,60.4731867115711,179.64166444236324,0.351929479899197,0.6200829293707868,-0.6015876845617985,0.3601875069030096,-79.0,10.4,-47.48,-78.8,45.8,-51.36,-58.4,-18.4,-40.7,-105.4,0.0,-27.13,-97.2,51.6,-31.98,-74.4,41.4,-54.59,-84.2,20.2,-52.33,-18.8,31.8,-64.6,-94.4,43.6,-20.03,-56.4,77.4,-35.53,-44.0,7.2,-80.43,-94.6,41.6,-48.77,-67.6,50.0,-48.45,-63.2,48.6,-42.64,-74.0,42.4,-66.22,-47.4,37.4,-22.29,-135.4,24.0,-39.41,-97.2,56.4,-84.95,-92.6,35.0,-36.82,-106.4,3.6,-46.84,-89.4,32.0,-49.74,-84.2,12.8,-44.25,-49.8,17.4,-61.05,-52.2,43.4,-52.33
1754643992.299728,0.08030283451080322,1.025814414024353,0.09951795637607574,-93.13428412351236,68.24758540394157,177.78454265266632,0.39722753171478864,0.5935837660404484,-0.576903890518754,0.3962959596971139,-142.6,-63.4,799.1,203.0,11.6,168.28,32.8,-23.0,-43.61,-79.2,-3.8,-38.76,-137.2,382.8,319.77,110.8,188.0,47.8,-11.2,43.0,-59.11,8.2,33.8,-76.23,-100.0,165.8,12.27,-15.6,136.4,-23.26,-22.4,16.0,-74.29,-88.6,43.8,-47.48,-70.4,50.4,-46.84,-63.6,48.8,-41.99,-73.6,42.0,-66.22,-47.4,37.6,-22.93,-135.4,24.0,-39.08,-96.6,56.8,-84.63,-91.8,35.2,-36.5,-106.0,3.6,-46.84,-89.0,32.2,-48.13,-83.6,13.0,-43.28,-50.0,17.8,-60.4,-52.0,44.4,-52.33
1754644006.1108947,0.06231093406677246,1.027976155281067,0.024914279580116272,-95.5138482940451,79.10420812942937,175.21149408657936,0.45156444770280796,0.5524226851980677,-0.537597400265472,0.4493414569185933,-142.6,-63.6,799.1,203.4,11.6,169.25,32.6,-22.6,-43.28,-79.4,-3.4,-38.11,-137.0,382.8,319.45,110.8,187.8,47.8,-10.8,42.8,-59.43,7.6,34.0,-76.23,-100.0,165.8,11.95,-14.8,136.8,-23.58,-22.2,16.0,-74.94,-88.0,43.4,-47.8,-70.4,51.0,-47.8,-63.6,49.0,-42.64,-73.4,42.4,-66.54,-47.2,37.6,-23.26,-135.2,24.2,-39.73,-96.8,56.2,-84.95,-92.4,34.8,-36.18,-106.2,3.2,-46.51,-89.4,32.0,-48.77,-83.4,13.4,-42.31,-50.0,18.0,-60.72,-52.2,43.6,-52.0
1754644019.2625732,0.1186034083366394,1.0300507545471191,0.0013935714960098267,-93.20388284394235,74.18515053382274,177.61890032165653,0.4263235974789044,0.5708449100277788,-0.5570307459311229,0.42673298049766484,-142.6,-63.8,799.43,203.0,12.0,169.25,32.8,-23.0,-43.28,-79.8,-3.4,-37.79,-137.2,383.2,320.09,111.0,187.8,47.48,-10.8,42.8,-59.43,8.0,34.2,-76.87,-100.2,165.6,11.95,-14.8,136.6,-23.58,-22.6,16.2,-74.94,-88.2,43.6,-48.13,-70.0,50.4,-47.48,-63.0,49.0,-42.64,-73.2,42.2,-66.22,-47.4,37.0,-22.29,-135.2,24.6,-39.41,-96.6,56.2,-84.63,-92.4,34.8,-36.18,-106.0,3.8,-46.84,-89.0,31.8,-48.13,-83.6,12.6,-43.28,-50.2,17.6,-60.4,-52.0,44.0,-51.68
1754644031.8535976,0.11834210157394409,1.030238151550293,0.001536741852760315,-93.04195154556119,74.19303415142976,177.79148371917154,0.42610430037878144,0.5706686943113508,-0.5571666639654745,0.42701013103535923,-144.0,-72.2,795.55,217.2,-15.2,250.65,55.6,-30.4,-33.59,-70.6,-6.0,-40.05,-316.4,331.8,372.74,173.6,289.6,340.12,71.0,64.8,-17.12,34.4,35.8,-82.04,-176.6,188.8,38.44,-11.4,236.0,38.44,17.4,53.2,-63.95,-71.4,53.8,-52.65,-89.0,65.8,-46.19,-65.6,82.2,-37.15,-61.6,62.4,-68.8,-42.8,41.4,-34.88,-140.2,31.0,-41.02,-97.6,67.8,-85.6,-89.0,42.8,-38.44,-103.0,6.8,-48.77,-90.6,34.8,-49.42,-84.0,16.8,-44.25,-49.0,21.2,-61.69,-50.6,46.0,-54.26
1754644043.9908497,0.11838078498840332,1.0301188230514526,0.0014875680208206177,-92.91274080783806,74.18582940099498,177.93208195179844,0.4258517558212419,0.5705911618155669,-0.557311486477028,0.4271766577857466,-415.4,-215.8,437.99,157.2,-169.6,488.7,115.0,-61.0,1.29,-56.2,-12.0,-40.7,-389.8,276.0,344.96,167.0,298.4,391.15,80.2,65.6,-14.21,35.2,36.4,-81.07,-176.2,189.2,38.76,-11.0,236.0,39.41,17.2,53.2,-63.63,-71.8,54.2,-52.65,-88.8,65.6,-45.22,-66.0,82.0,-37.47,-61.6,61.8,-67.83,-43.0,40.2,-33.92,-135.2,71.6,-38.11,-71.8,86.4,-86.56,-77.4,41.2,-41.67,-100.6,3.4,-49.74,-83.6,57.0,-54.59,-74.0,28.0,-48.45,-43.0,23.4,-64.92,-48.4,45.2,-54.59
1754644055.597269,0.04996180534362793,1.0274674892425537,0.05228947103023529,-93.32485079178322,76.22487068240183,177.31067605631577,0.4368984501675223,0.5621606590484408,-0.5503637079348878,0.43611338737583655,-44.4,-237.8,41.99,-15.2,-51.0,-39.41,-27.4,-44.4,-51.03,-94.6,-8.4,-34.24,69.4,-253.6,512.28,112.4,-29.6,-3.88,-30.2,0.6,-63.63,0.8,24.2,-73.32,82.8,245.2,590.12,124.2,96.0,44.25,-0.2,-7.2,-73.64,-85.0,36.0,-48.45,-12.0,230.4,78.49,14.0,94.4,-19.06,-47.6,42.6,-69.44,-43.6,36.2,-28.75,-117.6,94.2,-33.27,-68.2,86.4,-87.21,-77.2,41.4,-40.7,-100.6,3.4,-49.74,-83.2,58.0,-54.91,-73.8,28.2,-48.45,-43.4,23.4,-64.6,-48.8,44.6,-54.26
1754644065.3818593,0.08882135152816772,1.0267943143844604,0.10047073662281036,-166.49894941803586,89.0330154175072,104.2655553380489,0.4997188799276082,0.5084151435716551,-0.493551765483947,0.4981984632583198,-44.8,-238.0,41.67,-14.8,-50.8,-39.73,-27.8,-44.6,-51.36,-94.8,-8.6,-33.27,53.0,-265.0,495.48,111.0,-33.4,6.78,-12.2,-22.8,-39.41,32.6,3.0,-81.07,-459.0,32.8,256.14,-8.4,109.2,796.84,215.0,-2.4,99.16,-19.6,42.6,-50.71,-248.2,165.4,58.79,-54.2,327.2,241.28,73.8,145.8,0.0,-16.6,49.6,-73.0,-182.8,97.4,-30.36,-90.2,176.0,-58.14,-46.8,99.4,-34.24,-81.2,18.2,-55.23,-102.2,63.4,-54.91,-83.4,55.0,-48.77,-37.4,47.4,-67.51,-40.4,56.2,-59.43
1754644068.5229826,0.08821934461593628,1.0270506143569946,0.1006832867860794,-167.3970048041623,88.96634196452905,103.3409292723174,0.5001323294260154,0.5085962652365431,-0.4933671239996629,0.49778141849861135,-163.0,-140.8,-25.84,-91.6,-136.6,-6.78,-1.2,-110.4,-40.7,-74.4,-30.2,-39.08,-327.8,-151.4,119.83,-6.4,-325.0,318.8,88.6,-118.2,25.52,48.6,-1.0,-80.75,-458.0,33.2,256.79,-7.4,109.8,796.84,215.4,-1.6,98.84,-20.4,42.6,-51.03,-248.0,165.2,58.46,-54.4,327.6,241.28,73.8,145.6,1.29,-16.6,49.6,-73.97,-183.2,97.8,-30.04,-90.0,176.0,-58.14,-46.4,99.2,-33.92,-80.8,18.4,-55.23,-102.0,63.4,-54.91,-83.6,55.2,-49.1,-37.8,47.8,-68.8,-40.2,56.4,-59.43
1754644071.8313024,0.08765143156051636,1.02753746509552,0.10067252814769745,-168.83842894362434,89.03622808682837,101.86555754072481,0.5001826537827336,0.5080042279955552,-0.49362024929390463,0.49808434877822777,-163.0,-141.2,-26.16,-92.0,-136.0,-6.46,-1.2,-110.2,-40.7,-74.4,-30.0,-39.41,-327.6,-151.8,120.48,-6.8,-326.0,318.8,88.2,-118.0,24.87,48.6,-0.4,-81.4,-457.8,33.0,256.79,-7.8,109.6,796.84,215.0,-2.2,99.48,-20.2,42.8,-51.03,-248.6,165.6,58.79,-54.8,327.2,241.28,74.0,145.6,0.65,-17.2,49.8,-74.29,-183.2,97.4,-29.72,-89.6,173.8,-59.43,-47.6,98.4,-33.59,-81.2,21.2,-54.26,-97.6,43.2,-51.68,-87.2,24.4,-46.51,-49.8,28.2,-64.28,-49.6,51.2,-55.56
1754644080.7993503,0.03265273571014404,1.0267443656921387,0.09999506175518036,-118.78719442736163,88.64796681962243,151.89845445185244,0.4945878489470163,0.5109442868095496,-0.4993423576234541,0.4949504454327139,-290.4,-127.4,34.24,-257.2,-286.6,405.37,176.0,-228.4,185.08,0.6,-46.6,-25.52,-353.2,70.4,73.64,-264.8,173.6,711.25,253.0,93.2,316.22,123.8,35.6,-65.89,-225.0,106.4,5.17,-154.4,322.2,149.23,83.6,178.6,41.67,-19.8,89.8,-46.51,-113.4,54.4,-46.51,-99.6,120.6,-21.64,-48.0,115.6,-55.23,-32.0,53.4,-58.46,-149.2,30.6,-40.7,-105.6,82.4,-86.24,-87.2,61.4,-39.73,-98.8,17.2,-51.36,-94.2,36.4,-49.74,-87.4,22.4,-45.87,-50.0,28.4,-64.6,-49.2,51.2,-56.2
1754644091.799475,0.06465768814086914,1.0265777111053467,0.06713102757930756,101.86778140315775,80.43628618965074,12.732878955035977,0.5440878563071253,0.47016222481597186,-0.4448799942885162,0.5338517248816976,-290.0,-127.4,34.56,-257.4,-286.8,405.37,176.4,-228.6,184.76,1.0,-46.6,-25.52,-353.0,70.6,73.0,-265.2,174.0,710.28,253.4,93.6,316.54,123.8,35.8,-66.54,-225.0,106.6,5.49,-154.2,321.8,149.23,83.4,178.6,41.67,-19.2,89.8,-46.51,-113.4,54.6,-46.51,-99.4,120.6,-21.64,-48.6,115.8,-55.88,-32.0,53.4,-58.14,-149.0,31.2,-40.7,-106.0,82.2,-85.92,-87.2,61.0,-40.7,-98.6,17.8,-51.36,-93.8,36.4,-50.07,-87.6,22.8,-46.19,-50.0,28.2,-63.95,-49.0,51.4,-56.2
1754644104.7163947,0.06172740459442139,1.0262914896011353,0.014477863907814026,93.28431068834429,73.8274502926902,3.741148109257003,0.5675604133167467,0.4311076415162156,-0.4185420689019981,0.5628888931825206,-290.0,-126.6,35.21,-257.0,-286.8,405.37,176.8,-228.2,184.43,0.8,-46.6,-25.19,-353.0,70.6,73.64,-265.4,174.2,711.25,253.2,94.0,315.25,123.8,36.2,-66.54,-225.2,106.4,5.49,-154.4,322.4,148.58,83.4,179.2,41.67,-19.2,90.0,-46.51,-113.2,54.4,-47.16,-99.0,120.8,-22.29,-48.2,115.8,-54.91,-31.4,53.4,-58.14,-149.0,31.2,-41.34,-105.8,82.2,-86.24,-87.2,61.2,-40.05,-99.0,17.2,-51.36,-94.2,36.2,-50.07,-87.4,22.0,-46.19,-49.6,28.6,-63.95,-49.2,51.6,-55.88
1754644117.8805258,0.06955242156982422,1.0268316268920898,-0.030601754784584045,91.4092106151999,55.053799797793324,1.6222202279362032,0.6300891960808782,0.33170934036638927,-0.32199407571514205,0.6239201177969396,-289.8,-126.4,33.92,-257.0,-286.2,405.69,177.0,-228.8,184.43,1.4,-46.0,-25.19,-352.6,70.6,73.32,-264.8,173.8,711.25,253.6,94.0,316.22,123.8,35.4,-66.54,-225.2,106.2,4.85,-154.2,322.2,149.87,83.2,179.2,41.34,-19.6,90.2,-46.84,-113.4,54.4,-46.84,-99.4,120.2,-22.29,-47.6,115.6,-55.23,-32.2,53.6,-58.79,-149.2,31.0,-41.02,-105.8,82.2,-87.21,-88.0,60.8,-39.41,-99.2,17.4,-51.03,-94.6,36.2,-50.07,-87.4,22.2,-45.54,-49.8,28.6,-64.28,-49.0,51.6,-56.2
