label,pos_x,pos_y,pos_z
Corner_1,0.5189754366874695,0.3118301033973694,-0.4067908227443695
Corner_2,0.5202320218086243,0.31515371799468994,-0.4060244858264923
Corner_3,0.5191408395767212,0.3154648542404175,-0.4088645279407501
Corner_4,0.5144208073616028,0.32279694080352783,-0.42068979144096375
Sensor_1,0.5196175575256348,0.3154338598251343,-0.4074762165546417
Sensor_2,0.525875449180603,0.30715394020080566,-0.39143261313438416
Sensor_3,0.5297927260398865,0.30115580558776855,-0.383063942193985
Sensor_4,0.5195557475090027,0.3127060532569885,-0.40512654185295105
Sensor_5,0.5224138498306274,0.3105952739715576,-0.40235480666160583
Sensor_6,0.5231030583381653,0.3123834729194641,-0.40040138363838196
Sensor_7,0.5301205515861511,0.30103206634521484,-0.38197365403175354
Sensor_8,0.5336700081825256,0.29584163427352905,-0.3730301558971405
Sensor_9,0.5282270908355713,0.30338722467422485,-0.38816240429878235
Sensor_10,0.5249868035316467,0.30861812829971313,-0.3982551395893097
Sensor_11,0.5193290710449219,0.31173408031463623,-0.40465453267097473
Sensor_12,0.5261045098304749,0.3074091076850891,-0.3916637599468231
Sensor_13,0.5236803293228149,0.31055086851119995,-0.4026261866092682
Sensor_14,0.5262720584869385,0.3066279888153076,-0.3944818079471588
Sensor_15,0.5265318155288696,0.30591803789138794,-0.38991352915763855
Sensor_16,0.5266207456588745,0.3068850040435791,-0.39381250739097595
Sensor_17,0.5222957730293274,0.31250858306884766,-0.40368416905403137
Sensor_18,0.5209578275680542,0.31356310844421387,-0.4057357609272003
Sensor_19,0.5168887376785278,0.31888651847839355,-0.414011150598526
Sensor_20,0.5240411162376404,0.3103625774383545,-0.3983727991580963
Sensor_21,0.5199233293533325,0.3158009648323059,-0.41221389174461365
Sensor_22,0.5256707072257996,0.30695539712905884,-0.3941807448863983
Sensor_23,0.5258964896202087,0.30640655755996704,-0.3926859200000763
Sensor_24,0.5215082168579102,0.3139756917953491,-0.40447375178337097
