label,pos_x,pos_y,pos_z
Corner_1,-0.2901909351348877,1.0994858741760254,-0.030484139919281006
Corner_2,-0.022508740425109863,1.0929317474365234,-0.008489251136779785
Corner_3,0.0011042952537536621,1.0922586917877197,-0.3318609297275543
Corner_4,-0.25907790660858154,1.1000515222549438,-0.35902780294418335
Sensor_1,-0.24215352535247803,1.093324065208435,-0.08508145809173584
Sensor_2,-0.16545116901397705,1.102513313293457,-0.06331908702850342
Sensor_3,-0.10703957080841064,1.0960803031921387,-0.06952029466629028
Sensor_4,-0.04106855392456055,1.0981494188308716,-0.061050355434417725
Sensor_5,-0.24071991443634033,1.1055753231048584,-0.13328933715820312
Sensor_6,-0.166273832321167,1.09938383102417,-0.11634165048599243
Sensor_7,-0.09779489040374756,1.0990216732025146,-0.109885573387146
Sensor_8,-0.04697620868682861,1.0939619541168213,-0.10071200132369995
Sensor_9,-0.24704957008361816,1.0994906425476074,-0.1724947690963745
Sensor_10,-0.16631531715393066,1.097580909729004,-0.16063719987869263
Sensor_11,-0.0919656753540039,1.0960886478424072,-0.15774154663085938
Sensor_12,-0.037079453468322754,1.0953090190887451,-0.15297716856002808
Sensor_13,-0.2371523380279541,1.1015572547912598,-0.2243574857711792
Sensor_14,-0.1508941650390625,1.094942569732666,-0.20808887481689453
Sensor_15,-0.09730029106140137,1.0932447910308838,-0.20684528350830078
Sensor_16,-0.036612629890441895,1.092726230621338,-0.19564765691757202
Sensor_17,-0.24871313571929932,1.093928337097168,-0.2672964930534363
Sensor_18,-0.16530776023864746,1.0904576778411865,-0.25238263607025146
Sensor_19,-0.09437394142150879,1.0903874635696411,-0.24630534648895264
Sensor_20,-0.05256158113479614,1.0915684700012207,-0.2359861135482788
Sensor_21,-0.22263240814208984,1.0980342626571655,-0.3263553977012634
Sensor_22,-0.1539444923400879,1.096177101135254,-0.3179088532924652
Sensor_23,-0.09228181838989258,1.0940742492675781,-0.3058335483074188
Sensor_24,-0.026796817779541016,1.0945786237716675,-0.30214381217956543
