timestamp,patch1_area_id,patch2_area_id,patch1_inference_enabled,patch2_inference_enabled,tracker1_pos_x,tracker1_pos_y,tracker1_pos_z,tracker1_rot_roll,tracker1_rot_pitch,tracker1_rot_yaw,tracker1_rot_quat_x,tracker1_rot_quat_y,tracker1_rot_quat_z,tracker1_rot_quat_w,tracker2_pos_x,tracker2_pos_y,tracker2_pos_z,tracker2_rot_roll,tracker2_rot_pitch,tracker2_rot_yaw,tracker2_rot_quat_x,tracker2_rot_quat_y,tracker2_rot_quat_z,tracker2_rot_quat_w,S_70_0_x,S_70_0_y,S_70_0_z,S_70_1_x,S_70_1_y,S_70_1_z,S_70_2_x,S_70_2_y,S_70_2_z,S_70_3_x,S_70_3_y,S_70_3_z,S_70_4_x,S_70_4_y,S_70_4_z,S_70_5_x,S_70_5_y,S_70_5_z,S_70_6_x,S_70_6_y,S_70_6_z,S_70_7_x,S_70_7_y,S_70_7_z,S_71_0_x,S_71_0_y,S_71_0_z,S_71_1_x,S_71_1_y,S_71_1_z,S_71_2_x,S_71_2_y,S_71_2_z,S_71_3_x,S_71_3_y,S_71_3_z,S_71_4_x,S_71_4_y,S_71_4_z,S_71_5_x,S_71_5_y,S_71_5_z,S_71_6_x,S_71_6_y,S_71_6_z,S_71_7_x,S_71_7_y,S_71_7_z,S_72_0_x,S_72_0_y,S_72_0_z,S_72_1_x,S_72_1_y,S_72_1_z,S_72_2_x,S_72_2_y,S_72_2_z,S_72_3_x,S_72_3_y,S_72_3_z,S_72_4_x,S_72_4_y,S_72_4_z,S_72_5_x,S_72_5_y,S_72_5_z,S_72_6_x,S_72_6_y,S_72_6_z,S_72_7_x,S_72_7_y,S_72_7_z
1754655088.19999,0.0,0.0,0.0,0.0,0.5126863718032837,0.9493579864501953,0.09424252808094025,73.64628508372272,-37.862812016487375,35.46576623319622,0.6190920240155997,-0.074693558091485,0.41583521620056857,0.6619871147615533,0.030375361442565918,1.1931016445159912,-0.054554328322410583,-99.43133136991933,-3.0172391696784904,163.72846250305318,0.09106843291583683,0.7573147668008864,-0.6370095634585541,-0.1113535294102306,-130.8,-75.0,-21.32,-131.6,72.2,-24.87,-73.0,10.0,-16.8,-83.4,41.4,-13.57,-105.2,24.0,59.76,-103.2,43.0,-29.07,-91.0,32.8,-26.16,-6.8,41.2,-45.22,-112.2,22.0,0.32,-92.4,48.6,-4.52,-65.8,-1.6,-42.31,-102.8,45.6,-20.67,-81.8,-0.8,-26.81,-87.2,12.8,-17.77,-90.4,32.4,-41.99,-89.8,42.0,-32.62,-144.4,5.6,-20.03,-108.4,44.2,-62.99,-98.0,27.6,-17.12,-113.0,-2.0,-32.95,-96.4,27.2,-35.53,-92.4,7.8,-28.75,-58.8,16.4,-42.64,-57.4,47.4,-35.53
1754655100.7595391,1.0,2.0,1.0,1.0,0.15132689476013184,1.0134296417236328,0.11610479652881622,93.36118103326888,-87.08458907498475,-3.5097092163925,0.5126488727239905,-0.4885509929673953,0.4857311502167438,0.5124199412699143,-0.011168479919433594,1.0201771259307861,0.11304421722888947,-89.336272530661,-34.582413785164846,179.73829466303332,0.20985244985143636,-0.6717092585696557,0.6785702715702014,0.21050157682492315,-127.2,-80.0,-33.92,-133.4,66.0,-35.53,-75.8,2.2,-27.13,-83.8,33.4,-28.1,-101.8,29.6,33.59,-88.2,77.4,-46.19,-41.6,44.4,-81.4,9.2,45.8,-90.76,-129.4,84.2,187.02,99.6,91.2,47.8,35.4,4.8,-77.2,-65.0,47.4,-58.79,-110.6,-71.6,499.36,138.2,31.2,99.81,5.8,46.6,-73.97,-55.2,47.8,-67.18,-146.8,270.2,334.63,67.2,152.4,10.66,-26.0,55.4,-44.9,-86.2,5.2,-61.69,-90.0,193.6,2.58,-25.4,101.8,-31.98,-16.6,48.0,-71.38,-37.0,54.0,-62.99
1754655100.7595391,1.0,2.0,1.0,1.0,0.1513270139694214,1.013429880142212,0.11610482633113861,93.36054151698198,-87.0845961074879,-3.509111542976463,0.5126484813524858,-0.48855106300219986,0.4857310509788256,0.5124202888664218,-0.011168599128723145,1.0201773643493652,0.11304469406604767,-89.33626630907399,-34.582408128115304,179.73830319128106,0.20985245992376436,-0.6717091853750596,0.6785703455124342,0.21050146501913353,-143.6,-227.6,636.31,123.6,-23.6,136.63,33.6,-9.4,-47.8,-49.2,34.2,-50.07,-169.8,74.6,471.26,163.4,73.6,106.27,24.6,23.4,-48.13,34.0,37.4,-83.33,-152.0,-82.8,208.34,86.0,38.6,60.08,30.2,-1.4,-76.23,-68.4,47.2,-57.82,-134.6,-0.4,544.9,145.0,47.0,125.32,5.0,46.8,-70.09,-56.6,47.8,-65.89,-156.6,271.8,236.76,43.0,162.8,-1.94,-30.4,57.6,-44.25,-88.0,5.4,-61.05,-92.2,162.4,-21.32,-39.4,91.8,-38.11,-21.8,46.2,-70.09,-38.4,53.4,-62.02
1754655103.4424596,1.0,2.0,1.0,1.0,0.151047945022583,1.0134583711624146,0.11615060269832611,93.56278312255613,-87.06660758627197,-3.7582729965721793,0.512571765890056,-0.48873324191408474,0.4853939021085812,0.5126427890917091,-0.011179327964782715,1.0200501680374146,0.11319567263126373,-89.12234355286552,-34.5303524785764,179.56108820058913,0.20889857050755958,-0.6708590846708361,0.6795946758699813,0.21085645927671862,-92.8,-77.0,686.7,120.8,34.8,120.48,28.2,0.6,-48.13,-49.2,36.0,-48.77,-107.8,93.6,255.82,97.0,78.8,38.11,8.2,30.4,-63.31,28.6,38.4,-86.89,-145.2,-62.2,221.58,90.2,39.2,59.76,31.0,-1.2,-74.94,-66.8,47.4,-57.82,-133.8,-1.0,545.87,145.6,46.4,125.97,6.2,46.6,-70.74,-56.0,47.6,-66.22,-156.0,271.6,237.08,43.8,162.6,-1.62,-30.4,56.6,-44.25,-88.0,4.4,-61.05,-91.8,162.0,-21.0,-39.2,91.4,-38.11,-21.2,45.8,-70.41,-38.6,53.4,-62.02
1754655108.5173502,1.0,2.0,1.0,1.0,0.15084421634674072,1.0136449337005615,0.11623881757259369,91.20360334170807,-87.10943059863885,-1.4227396982948182,0.511781095199844,-0.4884768354883937,0.48598738195015245,0.5131145847674751,-0.011039555072784424,1.0199224948883057,0.11302213370800018,-89.27177165743319,-34.58294731372377,179.68202712983825,0.2096444079664901,-0.6714292541496668,0.678843888461562,0.21071990058255763,-92.4,-76.8,686.7,121.4,35.2,119.51,28.6,0.6,-48.45,-49.0,36.4,-49.42,-107.8,93.2,255.82,96.8,79.0,38.11,8.2,30.6,-63.95,28.2,38.4,-87.53,-144.8,-62.0,221.58,90.2,39.0,59.76,31.2,-1.2,-75.91,-67.2,47.0,-57.17,-134.2,-1.0,545.55,145.6,46.8,125.0,5.8,46.6,-70.74,-55.4,47.0,-66.22,-156.0,271.6,236.76,44.0,162.2,-1.94,-30.2,57.0,-43.61,-87.4,4.2,-61.37,-92.0,161.8,-21.0,-39.4,91.8,-38.11,-21.4,45.8,-69.77,-38.2,53.6,-61.05
1754655113.594065,1.0,2.0,1.0,1.0,0.15084242820739746,1.0136264562606812,0.11621306836605072,91.61856218603754,-87.10679880630934,-1.856075136233733,0.5118031493989947,-0.4886412553573107,0.4858041111648515,0.5131096082489054,-0.011004090309143066,1.0200815200805664,0.11298815906047821,-89.26339404446631,-34.55153193530848,179.63395909791151,0.20919170023073774,-0.6715241500458001,0.6788630802138506,0.21080559192345946,-92.4,-76.8,687.02,121.4,35.0,120.16,29.0,1.0,-48.45,-49.0,36.6,-48.45,-107.8,93.2,255.82,96.4,79.0,38.44,8.4,30.8,-63.31,28.4,38.0,-86.56,-145.2,-61.6,221.58,90.2,39.2,59.76,31.4,-1.2,-75.91,-67.0,47.2,-57.17,-134.4,-0.8,545.55,145.6,46.8,125.65,5.8,46.8,-70.74,-56.0,47.2,-65.89,-155.8,271.4,237.41,43.6,162.4,-1.94,-30.0,56.8,-43.93,-88.0,4.6,-60.4,-92.0,161.8,-21.64,-38.8,91.2,-38.44,-21.4,46.0,-70.09,-38.0,53.8,-61.69
1754655118.6684492,1.0,2.0,1.0,1.0,0.15073835849761963,1.0136699676513672,0.1162407249212265,91.60558799486337,-87.12727163941709,-1.8939664929320004,0.5114936863663511,-0.48895421322089483,0.48567328694671,0.513243869306193,-0.010987162590026855,1.0198060274124146,0.11300556361675262,-89.23715511605171,-34.60285992439805,179.63725599618888,0.20956397781566644,-0.6712700960552339,0.6789271920947455,0.21103826197243214,-92.6,-77.4,687.02,121.6,35.0,120.48,28.6,1.6,-49.1,-48.6,36.6,-48.45,-107.8,93.4,255.82,97.0,79.0,38.44,8.2,31.0,-63.63,28.6,38.2,-86.89,-145.0,-62.0,221.58,90.2,39.0,60.08,31.4,-1.2,-75.91,-66.8,46.8,-57.82,-134.0,-1.0,544.9,145.4,46.6,125.65,5.8,46.2,-71.06,-55.6,47.6,-65.89,-155.6,271.8,237.41,44.2,162.6,-1.94,-30.2,56.8,-44.57,-87.8,4.2,-60.72,-92.2,162.4,-20.67,-39.2,91.6,-38.11,-21.6,45.8,-70.41,-37.6,53.0,-62.34
1754655123.7410371,1.0,2.0,1.0,1.0,0.1507399082183838,1.0136466026306152,0.11632411181926727,91.03507989853408,-87.1232853171132,-1.3527414070585912,0.5112644870618253,-0.4889394475550649,0.48564547138670006,0.5135125302991099,-0.011134207248687744,1.0201966762542725,0.1129896491765976,-89.38499977408756,-34.57334067976026,179.64888845431088,0.20918474170059023,-0.6721775595196958,0.6781369767780808,0.21106680391674273,-92.4,-76.8,686.7,122.0,35.0,120.48,28.8,0.8,-48.45,-49.0,36.0,-49.1,-107.8,93.8,255.82,96.8,79.2,38.44,7.8,30.8,-63.95,28.4,38.2,-86.89,-145.4,-62.2,221.58,90.2,38.8,59.76,31.6,-1.0,-75.26,-67.2,46.8,-58.14,-134.0,-1.2,545.87,146.2,46.6,125.32,5.4,46.4,-70.74,-55.6,47.0,-66.22,-156.0,271.4,236.76,43.8,162.6,-1.94,-30.0,57.0,-44.25,-87.6,4.2,-60.72,-92.4,162.0,-20.67,-39.2,91.4,-37.79,-21.4,46.0,-70.09,-38.2,53.8,-62.02
1754655128.8208544,1.0,2.0,1.0,1.0,0.1506263017654419,1.0137501955032349,0.11620692908763885,91.45821165232539,-87.13481481289817,-1.8085851155540005,0.5111648405101594,-0.48923044438207647,0.48546147764101766,0.5135085932297737,-0.011252343654632568,1.0202802419662476,0.11310543119907379,-89.38610651352771,-34.58833623610279,179.68140948078215,0.2094623757238481,-0.6720976237163485,0.6781624691089021,0.21096417254004304,-92.8,-77.0,687.34,121.8,35.6,120.16,28.6,1.0,-48.77,-49.2,36.6,-47.8,-107.8,93.2,256.14,97.2,78.6,38.44,8.0,30.4,-63.31,28.4,38.0,-86.56,-144.6,-61.8,221.58,90.0,39.0,59.43,31.4,-1.4,-75.58,-66.8,47.0,-57.82,-134.2,-1.4,545.55,145.2,46.8,125.0,5.8,46.8,-70.74,-56.0,47.4,-66.54,-155.6,271.4,238.05,43.8,162.6,-2.26,-30.0,57.2,-43.93,-87.4,4.6,-60.4,-92.4,162.0,-20.35,-39.4,91.4,-37.79,-21.2,46.0,-70.41,-38.0,53.6,-62.02
1754655133.8939445,1.0,2.0,1.0,1.0,0.1506267786026001,1.0137661695480347,0.11628682911396027,91.07247317827856,-87.12838419064191,-1.4321255192413693,0.5110711976568775,-0.4891574599740371,0.48547254888410707,0.5136608503454032,-0.011327385902404785,1.020175576210022,0.11311613023281097,-89.29079711457646,-34.590802579518865,179.6017063773581,0.20918526678620603,-0.6716745400393394,0.6785698503909725,0.2112763440757339,-92.6,-76.8,687.02,121.8,35.0,120.48,28.8,1.2,-48.13,-49.0,36.6,-48.45,-107.4,93.0,255.82,96.6,79.0,38.44,8.0,30.8,-63.31,28.2,38.4,-86.56,-145.2,-61.8,222.22,90.0,38.6,59.76,31.4,-0.8,-76.55,-67.0,47.0,-57.49,-134.0,-1.2,545.87,145.8,46.6,125.32,6.2,47.0,-71.06,-55.8,46.8,-65.89,-155.2,271.6,237.73,44.2,162.6,-1.62,-30.0,57.0,-43.61,-87.2,4.6,-60.4,-92.4,162.4,-20.35,-39.2,91.6,-38.11,-21.0,45.4,-70.09,-37.8,53.6,-61.69
